random_ID,Ch_gender,Deprivation,M_age,M_work,F_age,F_work,No_bedrooms,M_years_current_addr,M_owns_residence,M_education,M_work_hours,M_smoke,F_years_current_addr,F_owns_residence,F_education,F_work_hours,F_smoke,Cellphone,Landline,Internet,Hhld_income_cat,Hhld_income_value,No_usual_resdnt,Parents,Ch_Ethnicity,M_Ethnicity,F_Ethnicity,M_benefit,F_benefit
22,male,10,36,full_time,49,not in LF,3,3,NA,NA,0,NA,NA,NA,degree,0,NA,none,none,none,14,100000,3,two,Maori,NZEuropean,Maori,benefit,benefit
23,male,5,30,not in LF,36,full_time,5,2,not_owned,level_2_3,0,never,2,not_owned,level_2_3,40,never,cellphone,landline,internet,13,85000,8,two,Asian,Asian,Asian,benefit,benefit
24,male,2,38,not in LF,36,full_time,3,0,owns,post_grad,0,never,0,owns,level_2_3,40,smoker,cellphone,landline,internet,7,22500,4,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
25,male,7,29,part_time,33,full_time,4,5,owns,degree,33,never,2,owns,diploma,41,ex_smoker,cellphone,landline,internet,12,60000,3,two,Maori,NZEuropean,NZEuropean,benefit,benefit
26,female,5,26,not in LF,NA,NA,4,0,not_owned,none,0,never,NA,NA,NA,0,NA,cellphone,landline,internet,NA,NA,6,mother,Maori,Maori,NA,benefit,benefit
27,male,6,30,not in LF,NA,NA,5,0,NA,NA,0,NA,NA,NA,NA,0,NA,cellphone,landline,internet,14,100000,7,mother,Maori,Maori,NA,benefit,benefit
28,male,2,35,part_time,33,full_time,4,2,owns,level_4,NA,NA,2,owns,diploma,NA,never,cellphone,landline,internet,13,85000,4,two,Other,Other,Other,benefit,benefit
29,female,6,34,full_time,38,full_time,3,5,owns,level_2_3,20,ex_smoker,5,owns,level_1,70,smoker,cellphone,landline,internet,12,60000,3,two,Maori,NZEuropean,Maori,benefit,benefit
30,female,1,34,not in LF,39,full_time,4,2,owns,degree,0,never,2,owns,degree,40,never,cellphone,landline,internet,14,100000,4,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
31,male,4,30,part_time,37,full_time,4,5,not_owned,level_1,NA,never,7,not_owned,none,70,never,cellphone,landline,internet,14,100000,6,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
32,female,3,33,not in LF,38,full_time,3,8,NA,post_grad,0,ex_smoker,NA,not_owned,NA,NA,ex_smoker,cellphone,landline,internet,NA,NA,5,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
33,female,2,37,not in LF,39,full_time,3,1,owns,degree,10,never,1,owns,post_grad,40,ex_smoker,cellphone,landline,internet,14,100000,3,two,Asian,NZEuropean,Asian,benefit,benefit
34,male,10,23,full_time,22,full_time,3,3,not_owned,degree,35,never,3,not_owned,level_4,45,never,none,none,none,14,100000,3,two,MELAA,Other,MELAA,benefit,benefit
35,female,9,30,not in LF,35,full_time,4,3,not_owned,level_2_3,0,smoker,10,not_owned,level_1,40,smoker,cellphone,landline,internet,10,37500,5,two,Maori,Maori,Maori,benefit,benefit
36,male,6,32,not in LF,39,full_time,4,3,owns,level_4,6,never,3,not_owned,level_4,40,never,cellphone,landline,internet,14,100000,5,two,Other,Other,Other,benefit,benefit
37,male,6,36,not in LF,33,full_time,2,6,not_owned,none,3,smoker,4,not_owned,level_1,40,smoker,cellphone,landline,internet,9,32500,4,two,Maori,NZEuropean,Maori,benefit,benefit
38,female,8,20,full_time,NA,NA,3,1,not_owned,NA,40,never,NA,NA,NA,0,NA,cellphone,none,none,NA,NA,6,mother,Asian,Asian,NA,benefit,benefit
39,male,6,30,not in LF,32,full_time,3,1,owns,level_2_3,0,smoker,1,owns,level_1,50,smoker,cellphone,landline,internet,13,85000,3,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
40,female,8,24,not in LF,NA,NA,3,0,not_owned,level_1,0,smoker,NA,NA,NA,0,NA,cellphone,none,none,NA,NA,3,mother,NZEuropean,NZEuropean,NA,benefit,benefit
41,male,6,31,full_time,34,full_time,3,2,owns,degree,40,never,2,owns,post_grad,40,ex_smoker,cellphone,landline,internet,13,85000,4,two,Asian,Asian,Asian,benefit,benefit
42,female,1,34,not in LF,36,full_time,3,0,not_owned,level_1,0,ex_smoker,0,not_owned,degree,45,never,cellphone,landline,internet,14,100000,3,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
43,male,3,21,not in LF,NA,NA,3,0,not_owned,level_2_3,0,never,NA,NA,NA,0,NA,cellphone,none,none,8,27500,3,mother,NZEuropean,NZEuropean,NA,benefit,benefit
44,male,10,NA,NA,36,full_time,3,NA,NA,NA,0,NA,0,not_owned,NA,40,never,cellphone,landline,none,11,45000,3,father,Maori,NA,Maori,benefit,benefit
45,male,10,34,NA,27,full_time,3,NA,NA,NA,0,NA,NA,NA,degree,40,never,cellphone,landline,internet,NA,NA,5,two,NA,NA,Maori,benefit,benefit
46,female,9,35,not in LF,33,full_time,3,3,not_owned,degree,0,never,3,not_owned,degree,43,never,cellphone,landline,internet,12,60000,5,two,Asian,Asian,Asian,benefit,benefit
47,male,6,27,full_time,26,full_time,3,2,owns,diploma,42,never,NA,owns,level_2_3,40,ex_smoker,cellphone,landline,none,12,60000,3,two,NZEuropean,NZEuropean,Maori,benefit,benefit
48,female,7,18,part_time,25,full_time,4,0,not_owned,level_2_3,40,smoker,1,not_owned,level_1,75,never,cellphone,none,none,10,37500,3,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
49,male,8,25,full_time,33,full_time,3,2,NA,level_2_3,NA,never,2,owns,degree,50,ex_smoker,cellphone,landline,none,14,100000,3,two,Other,NZEuropean,NZEuropean,benefit,benefit
50,male,9,31,not in LF,37,full_time,4,2,not_owned,level_1,0,smoker,5,owns,level_4,40,smoker,none,landline,none,11,45000,4,two,Maori,Maori,NZEuropean,benefit,benefit
51,female,7,17,not in LF,21,full_time,2,0,not_owned,level_1,0,smoker,0,not_owned,none,40,ex_smoker,cellphone,none,none,NA,NA,3,two,Maori,Maori,Maori,benefit,benefit
52,male,4,22,part_time,28,not in LF,NA,0,NA,level_2_3,NA,never,0,owns,level_1,0,never,none,none,none,7,22500,3,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
53,female,1,35,not in LF,39,NA,3,1,not_owned,level_2_3,0,never,1,NA,post_grad,40,NA,cellphone,landline,internet,NA,NA,6,two,Pacific,NZEuropean,NA,benefit,benefit
54,female,1,31,NA,32,full_time,3,2,NA,level_4,0,ex_smoker,4,owns,degree,50,never,cellphone,landline,internet,NA,NA,3,two,Other,NA,Other,benefit,benefit
55,male,1,36,NA,39,full_time,4,NA,not_owned,NA,10,NA,9,owns,NA,0,smoker,cellphone,landline,none,12,60000,4,two,NA,NA,NA,benefit,benefit
56,male,10,42,part_time,NA,NA,4,5,NA,NA,30,NA,NA,NA,NA,0,NA,cellphone,none,none,NA,NA,7,mother,Maori,Maori,NA,benefit,benefit
57,female,8,31,not in LF,31,full_time,3,0,owns,level_2_3,0,ex_smoker,0,owns,level_2_3,40,smoker,cellphone,landline,internet,10,37500,5,two,Maori,Maori,Maori,benefit,benefit
58,male,5,35,part_time,39,full_time,3,3,owns,level_1,10,NA,2,owns,none,60,smoker,cellphone,landline,internet,13,85000,3,two,Maori,Maori,Other,benefit,benefit
59,male,10,18,not in LF,18,not in LF,2,0,not_owned,level_1,0,NA,0,not_owned,none,0,NA,cellphone,none,none,3,2500,3,two,Maori,Maori,Maori,benefit,benefit
60,female,5,28,not in LF,29,not in LF,3,NA,owns,none,0,ex_smoker,4,owns,NA,0,ex_smoker,cellphone,none,none,9,32500,6,two,Maori,Maori,Maori,benefit,benefit
61,female,7,36,not in LF,36,full_time,3,4,owns,level_2_3,0,never,4,owns,level_1,45,never,cellphone,landline,internet,13,85000,4,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
62,female,8,31,full_time,29,full_time,3,2,not_owned,diploma,0,never,0,NA,level_1,45,NA,cellphone,landline,internet,14,100000,4,two,Maori,NZEuropean,Maori,benefit,benefit
63,female,10,31,NA,49,NA,3,0,NA,NA,0,NA,0,NA,NA,0,NA,cellphone,landline,internet,NA,NA,5,two,NA,NA,NA,benefit,benefit
64,female,9,20,part_time,26,full_time,3,1,owns,level_2_3,9,NA,2,owns,level_2_3,40,NA,cellphone,landline,internet,NA,NA,3,two,Maori,Maori,Pacific,benefit,benefit
65,male,10,21,NA,21,NA,2,NA,NA,NA,0,NA,NA,NA,NA,0,NA,cellphone,landline,none,NA,NA,4,two,NA,NA,NA,benefit,benefit
66,male,1,39,full_time,43,NA,4,8,owns,diploma,38,never,1,owns,diploma,NA,NA,cellphone,landline,internet,NA,NA,5,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
67,female,3,37,full_time,40,full_time,4,2,owns,degree,30,never,2,owns,post_grad,100,never,cellphone,landline,internet,13,85000,4,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
68,female,10,31,full_time,33,full_time,3,0,owns,diploma,38,never,7,not_owned,NA,NA,never,cellphone,landline,internet,13,85000,5,two,Pacific,Pacific,Pacific,benefit,benefit
69,female,3,36,not in LF,40,full_time,5,2,owns,level_1,0,ex_smoker,2,owns,none,60,ex_smoker,cellphone,landline,internet,14,100000,5,two,Maori,NZEuropean,Maori,benefit,benefit
70,female,6,30,full_time,27,full_time,3,0,not_owned,level_1,0,ex_smoker,0,not_owned,degree,40,never,cellphone,landline,internet,NA,NA,5,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
71,male,10,18,unemployed,NA,NA,4,6,owns,none,0,smoker,NA,NA,NA,0,NA,none,none,none,3,2500,8,mother,Maori,Maori,NA,benefit,benefit
72,female,4,34,not in LF,40,full_time,2,3,owns,none,0,ex_smoker,3,owns,level_1,47,smoker,cellphone,landline,internet,13,85000,3,two,Maori,Maori,NZEuropean,benefit,benefit
73,male,2,37,part_time,38,full_time,3,2,owns,degree,8,ex_smoker,3,owns,post_grad,50,never,cellphone,landline,internet,13,85000,4,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
74,male,6,25,NA,NA,NA,3,NA,NA,NA,0,NA,NA,NA,NA,0,NA,cellphone,landline,internet,NA,NA,4,mother,NA,NA,NA,benefit,benefit
75,female,9,23,not in LF,NA,NA,3,NA,not_owned,none,0,NA,NA,NA,NA,0,NA,cellphone,none,none,6,17500,5,mother,NA,Maori,NA,benefit,benefit
76,male,10,40,not in LF,36,not in LF,3,0,not_owned,degree,0,smoker,0,not_owned,none,0,smoker,cellphone,none,none,9,32500,6,two,Pacific,Pacific,Maori,benefit,benefit
77,male,10,32,full_time,39,full_time,3,3,not_owned,degree,40,never,0,owns,level_4,98,never,cellphone,landline,internet,NA,NA,6,two,Asian,Asian,Asian,benefit,benefit
78,male,1,NA,NA,44,part_time,5,NA,NA,NA,0,NA,2,owns,NA,40,never,cellphone,landline,internet,13,85000,4,father,NZEuropean,NA,NZEuropean,benefit,benefit
79,female,6,25,not in LF,23,NA,3,0,not_owned,none,0,ex_smoker,NA,not_owned,NA,NA,NA,cellphone,landline,none,11,45000,4,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
80,female,4,29,not in LF,33,full_time,5,2,not_owned,diploma,0,never,2,not_owned,degree,38,never,cellphone,landline,internet,13,85000,5,two,Asian,Asian,Asian,benefit,benefit
81,male,10,18,not in LF,NA,NA,4,22,not_owned,none,0,smoker,NA,NA,NA,0,NA,none,landline,internet,14,100000,6,mother,Pacific,Pacific,NA,benefit,benefit
82,female,10,33,part_time,52,full_time,3,0,not_owned,level_2_3,26,smoker,1,not_owned,none,50,smoker,cellphone,none,none,12,60000,4,two,Maori,Maori,Maori,benefit,benefit
83,male,1,39,NA,34,full_time,3,0,owns,NA,0,never,2,owns,post_grad,40,never,cellphone,landline,internet,14,100000,4,two,NA,NA,NZEuropean,benefit,benefit
84,male,7,37,not in LF,36,full_time,4,1,owns,diploma,0,never,1,owns,level_4,55,never,cellphone,landline,none,NA,NA,4,two,Maori,NZEuropean,Maori,benefit,benefit
85,female,10,24,not in LF,23,part_time,5,0,not_owned,none,0,never,0,not_owned,none,0,smoker,none,none,none,NA,NA,9,two,Maori,Maori,Pacific,benefit,benefit
86,male,3,34,full_time,36,full_time,4,1,owns,level_2_3,40,never,0,owns,degree,40,smoker,cellphone,landline,internet,13,85000,3,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
87,female,3,32,part_time,34,full_time,4,5,owns,level_2_3,0,never,4,owns,level_4,50,never,none,landline,internet,14,100000,4,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
88,female,7,30,part_time,29,full_time,3,6,owns,none,0,smoker,4,owns,level_4,45,NA,none,landline,none,12,60000,5,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
89,male,3,40,part_time,NA,NA,3,1,owns,NA,NA,NA,NA,NA,NA,0,NA,none,landline,internet,14,100000,3,mother,Other,NZEuropean,NA,benefit,benefit
90,female,9,18,not in LF,NA,NA,3,5,not_owned,level_1,0,NA,NA,NA,NA,0,NA,cellphone,landline,internet,NA,NA,9,mother,Maori,Maori,NA,benefit,benefit
91,male,8,32,NA,35,full_time,4,1,owns,level_4,0,NA,0,owns,level_4,40,ex_smoker,cellphone,landline,internet,NA,NA,3,two,NZEuropean,NA,NZEuropean,benefit,benefit
92,male,3,36,part_time,37,full_time,3,2,owns,degree,14,never,0,owns,post_grad,45,never,cellphone,landline,internet,14,100000,4,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
93,male,6,31,not in LF,34,full_time,3,0,not_owned,level_2_3,0,never,2,not_owned,degree,40,never,cellphone,landline,internet,12,60000,4,two,NZEuropean,NA,NZEuropean,benefit,benefit
94,male,5,33,part_time,37,full_time,3,7,owns,none,10,ex_smoker,3,owns,level_4,55,ex_smoker,cellphone,landline,internet,13,85000,4,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
95,male,2,34,part_time,41,full_time,3,0,owns,degree,20,never,1,owns,post_grad,40,never,cellphone,landline,internet,13,85000,4,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
96,male,5,30,unemployed,32,not in LF,3,3,not_owned,level_4,0,smoker,3,NA,diploma,27,smoker,cellphone,landline,none,13,85000,4,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
97,male,1,36,full_time,39,full_time,3,14,owns,none,58,never,13,owns,level_2_3,40,never,cellphone,landline,internet,11,45000,5,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
98,female,10,31,NA,NA,NA,3,2,not_owned,none,0,ex_smoker,NA,NA,NA,0,NA,cellphone,none,none,11,45000,6,mother,Maori,Maori,NA,benefit,benefit
99,male,5,34,part_time,36,full_time,3,2,not_owned,degree,25,never,2,NA,diploma,50,smoker,cellphone,landline,internet,14,100000,5,two,Asian,Asian,Asian,benefit,benefit
100,female,10,32,not in LF,NA,NA,3,4,not_owned,level_1,0,ex_smoker,NA,NA,NA,0,NA,cellphone,landline,internet,13,85000,4,mother,Pacific,Pacific,NA,benefit,benefit
101,female,2,27,full_time,35,full_time,3,2,owns,level_2_3,40,never,2,owns,level_1,38,never,cellphone,landline,internet,14,100000,3,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
102,male,7,37,not in LF,42,part_time,3,10,owns,level_2_3,0,ex_smoker,NA,NA,NA,0,ex_smoker,cellphone,landline,internet,NA,NA,6,two,NZEuropean,NZEuropean,NA,benefit,benefit
103,male,3,32,not in LF,32,full_time,3,5,owns,level_2_3,0,never,8,owns,level_1,40,never,cellphone,landline,internet,13,85000,4,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
104,female,6,26,not in LF,25,full_time,3,2,owns,degree,0,never,2,owns,degree,50,never,cellphone,landline,internet,12,60000,3,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
105,male,8,28,not in LF,31,full_time,3,2,not_owned,NA,0,ex_smoker,2,not_owned,NA,0,ex_smoker,cellphone,landline,none,12,60000,4,two,NA,NZEuropean,Maori,benefit,benefit
106,male,5,NA,NA,32,full_time,2,NA,NA,NA,0,NA,3,owns,level_4,0,ex_smoker,cellphone,landline,internet,2,0,2,father,NZEuropean,NA,NZEuropean,benefit,benefit
107,male,1,36,not in LF,NA,NA,4,6,NA,level_2_3,0,never,NA,NA,NA,0,NA,cellphone,landline,internet,NA,NA,3,mother,NZEuropean,NZEuropean,NA,benefit,benefit
108,female,2,36,full_time,33,full_time,4,1,owns,post_grad,NA,ex_smoker,1,owns,degree,50,never,cellphone,landline,internet,14,100000,4,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
109,male,10,40,full_time,45,full_time,2,2,not_owned,level_2_3,NA,never,8,owns,level_1,40,smoker,cellphone,none,none,NA,NA,8,two,Pacific,Pacific,Pacific,benefit,benefit
110,male,9,34,not in LF,32,full_time,3,0,not_owned,level_1,0,NA,2,not_owned,level_2_3,45,smoker,cellphone,landline,none,10,37500,4,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
111,female,10,24,unemployed,33,unemployed,NA,4,not_owned,level_2_3,0,smoker,2,not_owned,none,60,smoker,cellphone,none,none,NA,NA,7,two,Maori,Maori,Maori,benefit,benefit
112,female,2,40,part_time,40,full_time,3,11,owns,post_grad,12,never,7,owns,level_4,57,never,cellphone,landline,internet,12,60000,3,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
113,female,3,24,part_time,28,full_time,3,0,not_owned,level_1,40,never,0,not_owned,NA,60,never,cellphone,landline,internet,12,60000,4,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
114,female,9,38,full_time,42,NA,2,13,owns,degree,NA,never,NA,owns,NA,0,never,cellphone,landline,internet,NA,NA,4,two,NZEuropean,NZEuropean,NA,benefit,benefit
115,female,4,32,not in LF,32,full_time,3,1,not_owned,level_1,0,never,3,not_owned,level_2_3,40,never,cellphone,landline,internet,11,45000,5,two,NZEuropean,NZEuropean,NA,benefit,benefit
116,female,10,38,not in LF,NA,NA,NA,NA,NA,NA,0,smoker,NA,NA,NA,0,NA,none,none,none,NA,NA,2,mother,Pacific,NA,NA,benefit,benefit
117,male,6,32,full_time,32,full_time,3,1,owns,level_2_3,40,never,2,owns,level_2_3,55,ex_smoker,none,landline,internet,14,100000,3,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
118,male,2,28,not in LF,26,full_time,3,1,owns,degree,0,never,1,owns,level_4,48,never,cellphone,landline,internet,13,85000,3,two,Pacific,Pacific,Asian,benefit,benefit
119,male,9,19,not in LF,27,NA,3,0,not_owned,level_2_3,0,never,1,NA,NA,50,NA,none,landline,internet,NA,NA,4,two,NZEuropean,NZEuropean,Other,benefit,benefit
120,male,5,37,not in LF,28,full_time,5,0,owns,level_2_3,0,never,0,owns,degree,44,never,cellphone,landline,internet,14,100000,6,two,Pacific,Pacific,NZEuropean,benefit,benefit
121,female,10,29,not in LF,NA,NA,3,0,not_owned,NA,0,smoker,NA,NA,NA,0,NA,none,landline,none,NA,NA,6,mother,Maori,Maori,NA,benefit,benefit
122,female,7,36,part_time,32,full_time,5,2,owns,post_grad,0,ex_smoker,0,owns,level_2_3,44,ex_smoker,cellphone,landline,internet,13,85000,7,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
123,male,7,31,not in LF,31,full_time,3,0,not_owned,NA,0,smoker,0,not_owned,none,NA,smoker,none,landline,none,8,27500,4,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
124,male,10,25,not in LF,NA,NA,3,0,not_owned,none,0,smoker,NA,NA,NA,0,NA,none,none,none,NA,NA,4,mother,Maori,Maori,NA,benefit,benefit
125,female,4,29,not in LF,29,full_time,3,0,not_owned,level_2_3,0,never,0,not_owned,level_2_3,56,never,cellphone,landline,internet,14,100000,6,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
126,female,10,34,not in LF,34,unemployed,2,1,not_owned,level_2_3,0,smoker,NA,not_owned,none,0,ex_smoker,cellphone,none,none,7,22500,4,two,Maori,Maori,Maori,benefit,benefit
127,female,1,37,full_time,47,part_time,4,3,owns,degree,40,never,3,owns,level_4,0,never,cellphone,landline,internet,13,85000,3,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
128,female,6,35,full_time,34,full_time,2,1,not_owned,degree,32,ex_smoker,1,not_owned,level_2_3,70,ex_smoker,none,landline,internet,12,60000,3,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
129,male,4,22,full_time,32,full_time,4,0,not_owned,diploma,43,never,2,not_owned,diploma,37,never,cellphone,landline,internet,11,45000,3,two,Other,Other,Other,benefit,benefit
130,female,8,22,full_time,25,full_time,3,0,not_owned,level_2_3,33,smoker,0,not_owned,level_1,40,smoker,cellphone,none,none,10,37500,3,two,Other,Other,NZEuropean,benefit,benefit
131,male,10,21,not in LF,NA,NA,3,4,not_owned,level_1,0,ex_smoker,NA,NA,NA,0,NA,none,landline,none,11,45000,6,mother,Pacific,Pacific,NA,benefit,benefit
132,female,6,32,not in LF,45,not in LF,2,0,owns,level_2_3,0,never,3,owns,level_1,0,never,cellphone,landline,internet,8,27500,4,two,Asian,Asian,NZEuropean,benefit,benefit
133,female,10,20,not in LF,NA,NA,3,0,not_owned,NA,0,never,NA,NA,NA,0,NA,cellphone,none,none,4,7500,2,mother,Maori,Maori,NA,benefit,benefit
134,female,3,33,not in LF,32,full_time,3,6,owns,level_4,0,never,4,owns,level_4,40,never,cellphone,landline,internet,14,100000,4,two,Other,Other,Other,benefit,benefit
135,male,3,31,part_time,28,part_time,4,5,not_owned,NA,0,smoker,NA,NA,level_1,0,NA,cellphone,landline,internet,7,22500,6,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
136,female,9,23,not in LF,25,full_time,4,2,owns,level_4,NA,never,2,owns,level_4,42,never,cellphone,landline,internet,9,32500,4,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
137,male,6,33,part_time,36,full_time,3,2,owns,level_4,15,never,2,owns,level_2_3,40,smoker,cellphone,landline,internet,12,60000,3,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
138,female,5,31,part_time,35,full_time,3,2,owns,degree,12,never,3,owns,degree,40,never,none,landline,none,12,60000,4,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
139,female,7,33,part_time,32,full_time,3,0,not_owned,diploma,15,never,1,not_owned,diploma,40,never,cellphone,landline,internet,12,60000,4,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
140,male,4,19,not in LF,NA,NA,4,0,not_owned,none,0,never,NA,NA,NA,0,NA,cellphone,landline,internet,14,100000,6,mother,NZEuropean,NZEuropean,NA,benefit,benefit
141,male,10,29,full_time,24,full_time,3,3,not_owned,none,50,smoker,3,not_owned,none,48,smoker,cellphone,landline,none,13,85000,5,two,Pacific,Pacific,Pacific,benefit,benefit
142,female,5,33,not in LF,33,full_time,4,7,owns,level_2_3,0,ex_smoker,14,owns,level_4,45,never,cellphone,landline,internet,13,85000,5,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
143,female,7,34,not in LF,31,full_time,3,0,owns,level_2_3,0,never,0,owns,level_2_3,45,never,none,landline,internet,11,45000,4,two,NZEuropean,NZEuropean,NZEuropean,benefit,benefit
144,male,9,29,NA,NA,NA,3,NA,NA,level_2_3,0,NA,NA,NA,NA,0,NA,none,none,none,NA,NA,3,mother,NA,Maori,NA,benefit,benefit
