ethnicity,region,sex,agegrp,qualification,occupation,hours,income
Asian,Auckland,male,30,degree,clerical,40,542
Asian,Auckland,female,25,degree,clerical,0,-236
Asian,Auckland,female,35,other,clerical,32,531
Asian,Wellington,female,20,school,clerical,40,504
Asian,Waikato,female,25,degree,clerical,16,210
Asian,Otago,male,20,school,clerical,1,11
Asian,Auckland,female,40,degree,clerical,20,676
Asian,Wellington,male,20,degree,clerical,50,844
Asian,Auckland,male,25,degree,clerical,40,844
Asian,Christchurch,female,25,degree,clerical,30,2010
Asian,Auckland,male,25,degree,clerical,42.5,579
Asian,Wellington,male,25,degree,clerical,40,1028
Asian,Christchurch,female,35,degree,clerical,43,1806
Asian,Auckland,female,60,none,clerical,0,1814
Asian,Auckland,male,20,school,clerical,20,330
Asian,Auckland,female,30,degree,clerical,15,270
Asian,Auckland,female,35,vocational,clerical,24,324
Asian,Northland,male,35,vocational,clerical,40,529
Asian,Auckland,female,15,vocational,clerical,0,2158
Asian,Auckland,male,20,school,clerical,30,429
Asian,Christchurch,female,30,none,clerical,37,0
Asian,Waikato,male,35,degree,clerical,0,-1726
Asian,Auckland,female,55,none,clerical,37,0
Asian,Auckland,female,25,degree,clerical,44,799
Asian,Wellington,male,55,school,clerical,40,992
Asian,Auckland,male,25,degree,clerical,45,975
Asian,Auckland,male,25,degree,clerical,0,1155
Asian,Auckland,male,30,school,clerical,40,1044
Asian,Auckland,female,25,school,clerical,8,263
Asian,Auckland,male,30,degree,clerical,40,669
Asian,Auckland,male,35,degree,clerical,57,1084
Asian,Waikato,female,30,vocational,clerical,40,737
Asian,Northland,male,30,other,clerical,44,1110
Asian,Auckland,female,45,degree,clerical,45,891
Asian,Auckland,male,50,degree,clerical,46,1853
Asian,Waikato,female,15,none,clerical,0,488
Asian,Auckland,male,25,vocational,clerical,35,706
Asian,Auckland,male,45,degree,clerical,40,639
Asian,Auckland,female,50,degree,clerical,5,129
Asian,Wellington,male,35,none,clerical,40,720
Asian,Auckland,male,35,degree,clerical,37,0
Asian,Auckland,male,25,vocational,clerical,50,825
Asian,Auckland,female,30,degree,clerical,20,777
Asian,Auckland,female,40,degree,clerical,40,738
Asian,Auckland,female,45,vocational,clerical,0,-173
Asian,Auckland,female,55,none,clerical,40,759
Asian,Southland,female,20,school,clerical,40,540
Asian,Auckland,female,35,degree,clerical,40,477
Asian,Waikato,female,30,degree,clerical,41,827
Asian,Auckland,male,25,degree,clerical,47.5,1254
Asian,Auckland,female,20,degree,clerical,11.5,1392
Asian,Auckland,female,65,none,clerical,47.5,993
Asian,Auckland,female,25,degree,clerical,0,0
Asian,Auckland,male,55,degree,clerical,24,614
Asian,Auckland,male,30,degree,clerical,40,783
Asian,Auckland,female,25,degree,clerical,37,0
Asian,Auckland,female,30,school,clerical,16.5,881
Asian,Auckland,female,35,degree,clerical,30,462
Asian,Auckland,male,40,degree,clerical,50,963
Asian,Auckland,female,60,degree,clerical,16.5,749
Asian,Wellington,male,65,none,clerical,17.5,349
Asian,Auckland,female,35,other,clerical,35,1157
Asian,Wellington,female,25,degree,clerical,37.5,531
Asian,Auckland,female,15,school,clerical,40,471
Asian,Manawatu,female,35,school,clerical,42.5,924
Asian,Auckland,female,50,school,clerical,5,112
Asian,Auckland,female,50,school,clerical,8,176
Asian,Christchurch,male,15,none,clerical,16,187
Asian,Auckland,female,20,school,clerical,0,518
Asian,Auckland,male,35,degree,clerical,38,1005
Asian,Christchurch,female,60,school,clerical,40,972
European,Waikato,female,20,school,clerical,0,0
European,Auckland,female,35,vocational,clerical,2,39
European,Otago,female,30,other,clerical,55,1473
European,Otago,female,50,other,clerical,9,335
European,Nelson,female,50,school,clerical,4,66
European,Auckland,female,30,other,clerical,36,704
European,Auckland,female,25,school,clerical,45,555
European,Wellington,female,60,vocational,clerical,40,1026
European,Auckland,female,60,school,clerical,50,1283
European,Southland,female,45,none,clerical,0,633
European,Auckland,female,45,degree,clerical,12,2090
European,Waikato,female,40,vocational,clerical,20,213
European,Auckland,male,50,degree,clerical,36,799
European,BoP,female,50,vocational,clerical,36.5,450
European,Auckland,female,30,vocational,clerical,37.5,931
European,Christchurch,female,30,none,clerical,0,0
European,BoP,female,60,other,clerical,6,199
European,Waikato,female,30,vocational,clerical,0,-274
European,Waikato,female,30,degree,clerical,40,579
European,Auckland,female,25,vocational,clerical,37.5,633
European,Auckland,female,40,school,clerical,10,117
European,Auckland,female,45,school,clerical,29.5,637
European,Waikato,male,65,vocational,clerical,25,1443
European,Waikato,female,55,none,clerical,33,865
European,Wellington,female,30,vocational,clerical,50,975
European,Christchurch,female,25,vocational,clerical,14,234
European,Auckland,male,55,school,clerical,45,1932
European,Wellington,male,30,school,clerical,16,-173
European,Christchurch,male,55,degree,clerical,40,720
European,Christchurch,female,55,school,clerical,33.5,577
European,Christchurch,female,55,vocational,clerical,38.5,624
European,Southland,male,20,vocational,clerical,9,130
European,Wellington,male,55,none,clerical,2,33
European,BoP,female,50,vocational,clerical,21,612
European,BoP,female,30,vocational,clerical,40,898
European,Auckland,female,30,school,clerical,41,331
European,Gisborne,female,65,none,clerical,0,608
European,Waikato,female,40,none,clerical,40,823
European,Gisborne,female,50,vocational,clerical,10,651
European,Christchurch,female,20,school,clerical,24,1123
European,Auckland,male,50,degree,clerical,40,576
European,BoP,female,50,vocational,clerical,40,863
European,Christchurch,female,40,none,clerical,43,586
European,Wellington,female,45,other,clerical,42.5,688
European,Auckland,female,30,none,clerical,40,691
European,Gisborne,female,45,school,clerical,10,97
European,Christchurch,female,20,school,clerical,12,184
European,Taranaki,female,25,degree,clerical,40,930
European,Christchurch,female,45,other,clerical,40,955
European,Wellington,male,35,vocational,clerical,40,1793
European,Otago,male,50,degree,clerical,0,3625
European,Wellington,female,45,vocational,clerical,8,101
European,Auckland,female,20,vocational,clerical,40,633
European,Waikato,female,35,other,clerical,37.5,701
European,Northland,female,25,vocational,clerical,20,243
European,Manawatu,female,50,vocational,clerical,27,384
European,Christchurch,male,25,none,clerical,40,972
European,Christchurch,male,30,school,clerical,42,932
European,Wellington,female,35,vocational,clerical,37,785
European,Wellington,female,40,vocational,clerical,24,581
European,Gisborne,female,60,school,clerical,20,564
European,Auckland,female,45,vocational,clerical,40,1224
European,Gisborne,male,50,school,clerical,40,1510
European,Christchurch,female,25,vocational,clerical,44,629
European,Manawatu,female,65,none,clerical,40,948
European,Otago,female,45,vocational,clerical,15,678
European,Christchurch,female,60,none,clerical,40,647
European,Nelson,female,30,other,clerical,40,495
European,Gisborne,female,55,school,clerical,40,550
European,Christchurch,female,20,vocational,clerical,42.5,524
European,Waikato,female,20,school,clerical,25,502
European,Wellington,female,35,degree,clerical,47.5,838
European,Christchurch,female,45,school,clerical,15,327
European,Christchurch,female,55,vocational,clerical,40,660
European,BoP,male,55,degree,clerical,40,1033
European,Otago,female,40,vocational,clerical,0,8439
European,Auckland,female,30,degree,clerical,55,856
European,Northland,female,60,vocational,clerical,40,792
European,BoP,female,25,vocational,clerical,36,554
European,Gisborne,female,40,vocational,clerical,27,805
European,Auckland,female,20,school,clerical,45,782
European,Taranaki,female,60,school,clerical,23,853
European,Gisborne,female,65,vocational,clerical,20,1381
European,Auckland,female,35,school,clerical,37,1477
European,Auckland,male,30,school,clerical,40,748
European,Waikato,female,20,none,clerical,40,792
European,BoP,female,35,none,clerical,38.5,601
European,Wellington,female,45,school,clerical,40,1012
European,Wellington,female,40,other,clerical,39,1501
European,Christchurch,female,55,school,clerical,20,393
European,Auckland,female,20,vocational,clerical,42,762
European,Christchurch,female,45,vocational,clerical,40,836
European,Christchurch,female,20,degree,clerical,11,99
European,Gisborne,female,35,vocational,clerical,37,777
European,Christchurch,female,55,vocational,clerical,5,551
European,Auckland,male,50,degree,clerical,40,934
European,BoP,female,20,none,clerical,1,27
European,Waikato,female,60,school,clerical,40,1173
European,Otago,female,30,other,clerical,37.5,978
European,Christchurch,female,50,school,clerical,40,1191
European,BoP,male,45,other,clerical,40,1298
European,Auckland,female,55,other,clerical,40,855
European,Wellington,female,30,vocational,clerical,37.5,883
European,Auckland,female,20,vocational,clerical,40,791
European,Northland,female,55,degree,clerical,15.5,274
European,Christchurch,female,35,degree,clerical,40,928
European,Wellington,male,45,degree,clerical,50,709
European,Nelson,male,60,none,clerical,45,1012
European,Christchurch,female,50,vocational,clerical,35,736
European,Waikato,female,50,school,clerical,40,561
European,Wellington,female,20,school,clerical,40,784
European,Auckland,female,45,vocational,clerical,30,711
European,Taranaki,male,50,school,clerical,0,-173
European,Christchurch,female,45,school,clerical,23,327
European,Christchurch,female,40,school,clerical,40,576
European,Christchurch,female,55,school,clerical,45,990
European,Christchurch,female,55,school,clerical,20,275
European,Christchurch,female,40,vocational,clerical,9.5,433
European,Auckland,female,30,other,clerical,42,844
European,Auckland,female,40,vocational,clerical,40,518
European,Auckland,female,25,none,clerical,13,381
European,Auckland,female,35,school,clerical,0,0
European,Gisborne,female,35,degree,clerical,32,576
European,Christchurch,female,55,vocational,clerical,2,40
European,Auckland,female,45,none,clerical,40,2057
European,Southland,female,20,none,clerical,19,231
European,Taranaki,female,45,none,clerical,0,568
European,Auckland,female,35,degree,clerical,40,946
European,Taranaki,female,55,school,clerical,50,704
European,BoP,female,35,vocational,clerical,15,639
European,Christchurch,female,35,vocational,clerical,15.5,1015
European,Christchurch,female,60,vocational,clerical,0,518
European,Nelson,female,60,school,clerical,13,438
European,Manawatu,female,40,vocational,clerical,27,813
European,Auckland,female,20,school,clerical,0,340
European,Christchurch,female,40,none,clerical,36,614
European,Christchurch,female,25,school,clerical,5.5,109
European,Christchurch,female,50,vocational,clerical,40,759
European,Auckland,female,20,school,clerical,42,1063
European,Manawatu,female,60,none,clerical,40,984
European,Southland,female,40,school,clerical,37.5,1300
European,Auckland,female,25,vocational,clerical,37,780
European,Christchurch,female,20,school,clerical,0,346
European,Christchurch,female,45,none,clerical,50,925
European,Auckland,female,55,vocational,clerical,24,454
European,Waikato,female,30,vocational,clerical,37.5,607
European,Wellington,female,30,vocational,clerical,20,674
European,Nelson,female,55,none,clerical,46,539
European,Waikato,female,50,school,clerical,20,665
European,Southland,female,45,vocational,clerical,40,818
European,Waikato,female,20,school,clerical,5,134
European,Northland,female,50,school,clerical,40,751
European,Christchurch,female,45,vocational,clerical,46,1063
European,Wellington,female,30,school,clerical,40,1263
European,Otago,female,40,school,clerical,15,281
European,Wellington,male,25,degree,clerical,37,1195
European,BoP,female,25,vocational,clerical,50,765
European,BoP,male,35,school,clerical,40,1377
European,Christchurch,female,20,school,clerical,40,468
European,Otago,female,55,school,clerical,28,340
European,Christchurch,female,60,school,clerical,40,792
European,Christchurch,male,35,none,clerical,20,528
European,Christchurch,female,40,none,clerical,37,759
European,Auckland,female,50,school,clerical,0,1097
European,Wellington,female,20,school,clerical,40,518
European,Christchurch,female,50,school,clerical,37.5,755
European,Auckland,female,20,none,clerical,60,925
European,Wellington,female,65,none,clerical,40,1350
European,Gisborne,male,35,degree,clerical,40,1498
European,Auckland,female,40,school,clerical,0,-345
European,Christchurch,female,50,school,clerical,20,367
European,Waikato,male,65,other,clerical,0,104
European,Gisborne,female,50,school,clerical,45,977
European,Wellington,female,55,vocational,clerical,35,663
European,Taranaki,female,50,vocational,clerical,0,5416
European,Waikato,female,20,school,clerical,40,1214
European,Auckland,female,30,vocational,clerical,12,276
European,Auckland,female,60,none,clerical,45,926
European,BoP,male,45,degree,clerical,40,1059
European,Auckland,female,55,school,clerical,39.5,1089
European,Waikato,female,55,vocational,clerical,0,2919
European,BoP,female,45,vocational,clerical,20,818
European,Waikato,female,60,none,clerical,50,720
European,Nelson,male,50,vocational,clerical,68,1058
European,Auckland,female,60,school,clerical,0,2546
European,Auckland,female,60,none,clerical,46,818
European,Manawatu,female,55,vocational,clerical,20,1115
European,Manawatu,female,20,other,clerical,14,161
European,Christchurch,female,55,school,clerical,0,-863
European,Auckland,male,25,degree,clerical,40.5,777
European,Christchurch,female,60,vocational,clerical,45,1084
European,Southland,female,20,school,clerical,40,656
European,Northland,female,55,none,clerical,0,240
European,BoP,female,30,school,clerical,32,634
European,Wellington,female,50,vocational,clerical,8,-6
European,Auckland,female,55,none,clerical,32,571
European,Auckland,male,30,degree,clerical,40,669
European,Gisborne,female,55,none,clerical,20,774
European,Christchurch,female,55,vocational,clerical,32,829
European,Auckland,female,25,school,clerical,5,132
European,Taranaki,female,45,school,clerical,37,1036
European,Otago,female,65,none,clerical,20,292
European,Waikato,female,55,school,clerical,40,935
European,Auckland,female,30,school,clerical,40,756
European,Nelson,female,45,school,clerical,7,327
European,Southland,female,35,degree,clerical,17,391
European,Auckland,female,25,school,clerical,40,1184
European,Northland,female,45,none,clerical,38,663
European,Christchurch,male,40,degree,clerical,0,5285
European,Auckland,female,50,vocational,clerical,8,354
European,Manawatu,female,55,school,clerical,50,927
European,Nelson,female,35,vocational,clerical,40,1349
European,Otago,male,55,degree,clerical,37.5,743
European,Wellington,female,20,vocational,clerical,40,594
European,Wellington,female,55,degree,clerical,45,1561
European,Northland,female,25,vocational,clerical,0,251
European,Auckland,female,20,none,clerical,35,492
European,Otago,male,35,degree,clerical,40,2121
European,Auckland,female,35,vocational,clerical,0,1271
European,Nelson,female,45,vocational,clerical,40,1329
European,Taranaki,female,20,other,clerical,32,744
European,Nelson,female,50,school,clerical,8.5,145
European,Waikato,female,15,none,clerical,20,248
European,Gisborne,female,45,school,clerical,41.5,1333
European,Auckland,female,30,vocational,clerical,40,748
European,Waikato,male,55,none,clerical,65,1219
European,Christchurch,male,60,none,clerical,54.5,434
European,Waikato,female,25,school,clerical,16,317
European,Wellington,female,35,degree,clerical,8,424
European,Christchurch,female,55,vocational,clerical,0,422
European,Otago,male,25,vocational,clerical,37,777
European,Wellington,female,20,school,clerical,38,585
European,BoP,male,45,none,clerical,40,1440
European,BoP,female,50,school,clerical,16,327
European,Gisborne,female,35,school,clerical,37,1191
European,Taranaki,male,25,school,clerical,43.5,985
European,BoP,female,55,school,clerical,36,715
European,Christchurch,male,20,vocational,clerical,47.5,1336
European,BoP,female,55,vocational,clerical,54,3080
European,Gisborne,female,30,school,clerical,32.5,754
European,Wellington,female,40,vocational,clerical,35,501
European,Manawatu,female,55,none,clerical,45,990
European,Christchurch,female,55,school,clerical,35,473
European,Auckland,female,25,degree,clerical,0,345
European,Christchurch,female,20,vocational,clerical,12,185
European,Auckland,female,30,vocational,clerical,12,198
European,Auckland,male,30,vocational,clerical,40,668
European,Wellington,female,45,school,clerical,40,833
European,Wellington,female,50,school,clerical,37,1139
European,Auckland,male,50,degree,clerical,40,1044
European,Christchurch,female,50,vocational,clerical,60,1980
European,Manawatu,male,50,none,clerical,40,1082
European,Southland,female,45,school,clerical,40,1290
European,Auckland,male,35,degree,clerical,40,828
European,Christchurch,female,20,vocational,clerical,42.5,735
European,Northland,female,60,school,clerical,27,1179
European,BoP,female,45,school,clerical,18,622
European,Wellington,female,55,other,clerical,0,854
European,Wellington,female,20,school,clerical,0,169
European,Auckland,female,50,school,clerical,42.5,839
European,Auckland,female,20,school,clerical,0,345
European,Wellington,male,45,school,clerical,50,847
European,Christchurch,female,60,school,clerical,40,691
European,BoP,female,40,school,clerical,16,612
European,Waikato,male,30,vocational,clerical,37,1298
European,Gisborne,female,40,vocational,clerical,0,-173
European,Nelson,male,55,degree,clerical,0,1885
European,Christchurch,female,35,other,clerical,48,1402
European,Wellington,female,65,none,clerical,1,46
European,Christchurch,female,30,other,clerical,3,227
European,Nelson,female,50,vocational,clerical,40,1371
European,Otago,female,45,other,clerical,2,39
European,Auckland,female,35,degree,clerical,0,0
European,Gisborne,female,50,school,clerical,20,360
European,Nelson,male,45,none,clerical,40,898
European,Otago,female,45,school,clerical,32,562
European,Manawatu,female,40,school,clerical,50,1339
European,Waikato,male,45,none,clerical,44,1768
European,Auckland,female,50,none,clerical,12,512
European,Waikato,female,55,school,clerical,37.5,649
European,Auckland,female,20,other,clerical,40,468
European,Christchurch,female,45,school,clerical,54,1481
European,Auckland,male,45,school,clerical,40,822
European,Nelson,male,25,school,clerical,36,833
European,Nelson,female,35,degree,clerical,0,-4420
European,Waikato,female,55,school,clerical,37.5,1110
European,BoP,female,55,vocational,clerical,45,1348
European,Auckland,female,20,school,clerical,40,886
European,Nelson,female,55,vocational,clerical,30,443
European,Otago,female,30,vocational,clerical,24,478
European,Christchurch,female,40,school,clerical,32,704
European,Taranaki,female,60,none,clerical,43,993
European,Otago,female,50,vocational,clerical,20,259
European,BoP,female,35,school,clerical,40,630
European,Auckland,female,35,school,clerical,40,1590
European,Taranaki,female,55,none,clerical,40,969
European,Wellington,male,55,vocational,clerical,41,609
European,Christchurch,female,55,vocational,clerical,20,412
European,Auckland,female,25,school,clerical,42.5,601
European,Manawatu,female,45,school,clerical,9.5,356
European,Taranaki,male,45,vocational,clerical,37,1902
European,Auckland,female,65,vocational,clerical,40,1122
European,Auckland,male,50,vocational,clerical,0,195
European,Northland,female,65,none,clerical,3.5,193
European,Christchurch,female,60,school,clerical,40,1033
European,Auckland,female,20,degree,clerical,42.5,480
European,Auckland,female,45,school,clerical,40,992
European,Auckland,female,30,degree,clerical,32.5,492
European,Auckland,male,60,school,clerical,45,937
European,Waikato,female,25,vocational,clerical,0,345
European,Christchurch,male,30,vocational,clerical,40,888
European,Wellington,female,30,degree,clerical,37,622
European,Christchurch,female,15,school,clerical,6,261
European,Auckland,male,65,degree,clerical,20,537
European,Gisborne,female,55,school,clerical,34.5,797
European,Gisborne,male,50,vocational,clerical,54,1620
European,Wellington,female,20,vocational,clerical,43,503
European,Northland,male,20,none,clerical,40,725
European,Christchurch,male,30,vocational,clerical,0,2110
European,Otago,female,45,other,clerical,0,52
European,Auckland,female,20,none,clerical,40,612
European,Otago,female,40,vocational,clerical,0,-173
European,Northland,male,25,degree,clerical,37,2025
European,Manawatu,female,40,vocational,clerical,13,314
European,Otago,female,30,school,clerical,31.5,482
European,Wellington,female,55,other,clerical,13,196
European,Waikato,female,25,degree,clerical,40,866
European,Auckland,female,30,vocational,clerical,8,159
European,Auckland,female,50,vocational,clerical,30,570
European,Auckland,female,60,none,clerical,16,202
European,Otago,female,60,degree,clerical,2,32
European,Otago,female,30,school,clerical,0,0
European,Gisborne,male,65,none,clerical,45,813
European,Nelson,female,65,school,clerical,14,183
European,Manawatu,female,55,school,clerical,40,1075
European,Christchurch,female,45,school,clerical,0,718
European,Auckland,female,25,school,clerical,30,378
European,Otago,female,40,vocational,clerical,40,835
European,Manawatu,female,20,vocational,clerical,40,880
European,Wellington,female,35,other,clerical,42,924
European,Auckland,male,45,degree,clerical,40.5,1196
European,Waikato,female,20,other,clerical,58.5,939
European,Auckland,male,25,degree,clerical,40,980
European,Auckland,male,20,vocational,clerical,37,863
European,Waikato,female,40,school,clerical,45,1238
European,Auckland,female,20,school,clerical,42,696
European,Christchurch,female,40,other,clerical,23.5,414
European,Otago,male,40,degree,clerical,40,1070
European,Northland,male,25,school,clerical,41.5,502
European,Manawatu,female,40,vocational,clerical,40,823
European,Nelson,female,50,vocational,clerical,1.5,70
European,Waikato,female,45,school,clerical,46,671
European,Auckland,female,45,other,clerical,41.5,1653
European,Christchurch,male,50,degree,clerical,40,2244
European,Taranaki,female,40,degree,clerical,0,132
European,Auckland,female,30,school,clerical,40,1172
European,Wellington,female,50,vocational,clerical,37.5,730
European,Auckland,male,25,degree,clerical,40,819
European,Waikato,female,30,vocational,clerical,40,810
European,Southland,female,20,none,clerical,40,1160
European,Auckland,female,35,vocational,clerical,37,754
European,Christchurch,male,30,degree,clerical,8,94
European,Wellington,female,40,vocational,clerical,42.5,934
European,Otago,female,45,school,clerical,37,1203
European,Southland,female,20,vocational,clerical,50,715
European,Auckland,female,55,vocational,clerical,40,1371
European,Auckland,female,20,other,clerical,37,970
European,Wellington,female,55,school,clerical,20,460
European,Auckland,male,25,school,clerical,35,642
European,Christchurch,female,30,degree,clerical,40,637
European,Auckland,female,35,school,clerical,0,345
European,Auckland,female,65,degree,clerical,30,669
European,Auckland,female,45,other,clerical,30,561
European,BoP,male,20,school,clerical,33,1045
European,Wellington,female,45,school,clerical,40,949
European,Nelson,male,50,vocational,clerical,40,737
European,BoP,male,55,school,clerical,42.5,516
European,BoP,male,65,vocational,clerical,27.5,696
European,Wellington,female,20,school,clerical,0,1578
European,Otago,female,40,degree,clerical,20,402
European,Taranaki,female,20,none,clerical,12,162
European,Auckland,male,65,vocational,clerical,40,1415
European,Auckland,female,30,vocational,clerical,30,690
European,Otago,female,45,other,clerical,8,108
European,Waikato,female,55,school,clerical,40,576
European,Christchurch,female,45,other,clerical,8,119
European,Christchurch,male,50,school,clerical,40,811
European,Auckland,female,50,school,clerical,37.5,914
European,Wellington,female,50,vocational,clerical,40,727
European,Nelson,female,15,school,clerical,37,1479
European,Northland,female,45,vocational,clerical,40,878
European,Christchurch,female,55,vocational,clerical,0,337
European,Auckland,female,20,school,clerical,0,949
European,Christchurch,female,50,vocational,clerical,34,561
European,Auckland,female,50,school,clerical,37.5,768
European,Wellington,female,45,none,clerical,40,481
European,Christchurch,female,35,school,clerical,45,896
European,Auckland,male,45,vocational,clerical,42,370
European,Wellington,male,45,degree,clerical,53,816
European,Auckland,female,55,none,clerical,38,627
European,Wellington,female,55,vocational,clerical,22.5,472
European,Christchurch,male,25,none,clerical,40,1361
European,Wellington,female,30,other,clerical,40,757
European,Northland,female,50,vocational,clerical,17,1016
European,Auckland,female,40,school,clerical,37.5,701
European,Auckland,female,40,school,clerical,42.5,650
European,Northland,male,65,vocational,clerical,47.5,638
European,Waikato,female,50,school,clerical,54,991
European,Christchurch,female,55,school,clerical,40,1967
European,Christchurch,female,45,school,clerical,32,443
European,Waikato,male,25,vocational,clerical,0,349
European,Christchurch,female,25,school,clerical,19,438
European,Christchurch,male,65,vocational,clerical,28,391
European,Gisborne,female,40,vocational,clerical,24,422
European,Waikato,female,40,school,clerical,3,39
European,Auckland,female,35,degree,clerical,58,809
European,Christchurch,female,40,none,clerical,34,442
European,Christchurch,female,45,vocational,clerical,50,962
European,Auckland,female,25,vocational,clerical,0,77
European,BoP,female,45,school,clerical,24,843
European,Northland,female,35,vocational,clerical,45,1480
European,Auckland,male,50,none,clerical,40,771
European,Nelson,male,15,none,clerical,47,1082
European,Southland,female,20,vocational,clerical,45,628
European,Waikato,female,40,none,clerical,0,422
European,Southland,female,40,vocational,clerical,24,397
European,Northland,female,50,vocational,clerical,40,637
European,Auckland,female,35,degree,clerical,9,944
European,Wellington,female,45,vocational,clerical,40,1055
European,Northland,female,60,school,clerical,38.5,637
European,Christchurch,female,60,none,clerical,20,374
European,Gisborne,female,25,vocational,clerical,45,690
European,Auckland,male,60,school,clerical,40,1426
European,Manawatu,female,45,vocational,clerical,37,1049
European,Christchurch,female,55,school,clerical,52,987
European,Wellington,male,60,vocational,clerical,42,518
European,BoP,female,25,vocational,clerical,40,960
European,Waikato,female,40,school,clerical,16,2643
European,Christchurch,female,20,school,clerical,40,538
European,Manawatu,female,20,school,clerical,40,539
European,Manawatu,female,60,school,clerical,17.5,3917
European,Wellington,female,45,school,clerical,30,396
European,Wellington,female,25,school,clerical,50,496
European,Christchurch,female,30,degree,clerical,35,531
European,Christchurch,female,45,school,clerical,0,678
European,BoP,female,50,vocational,clerical,0,198
European,Manawatu,female,60,none,clerical,0,0
European,Manawatu,female,45,school,clerical,35,698
