Country,Region,Life.Expectancy,GDP.per.Capita,Population,Year,Children.per.Woman
Maldives,South Asia,38.567,,77940, yr 1952,7
Nepal,South Asia,36.023,545.8657229,9182536, yr 1952,6.153
Pakistan,South Asia,46.179,685,41346560, yr 1952,6.6
Sri Lanka,South Asia,52.809,1083.53203,7982342, yr 1952,5.8976
Algeria,Middle East & North Africa,42.817,2449.008185,9279525, yr 1952,7.28
Bahrain,Middle East & North Africa,50.648,9867.084765,120447, yr 1952,6.973
Djibouti,Middle East & North Africa,34.558,2669.529475,63149, yr 1952,7.8
Egypt,Middle East & North Africa,,1418.822445,22223309, yr 1952,6.335
Iran,Middle East & North Africa,,2722.844476,17272000, yr 1952,7
Iraq,Middle East & North Africa,41.769,3857.310565,5441766, yr 1952,7.437
Israel,Middle East & North Africa,65.128,4086.522128,1620914, yr 1952,4.192
Jordan,Middle East & North Africa,42.908,1546.907807,607914, yr 1952,7.39
Kuwait,Middle East & North Africa,55.327,108382.3529,160000, yr 1952,7.209
Lebanon,Middle East & North Africa,55.553,4834.804067,1439529, yr 1952,5.741
Libya,Middle East & North Africa,42.465,2387.54806,1019729, yr 1952,6.86
Morocco,Middle East & North Africa,42.617,1688.20357,9939217, yr 1952,7.179
Oman,Middle East & North Africa,37.34,1828.230307,507833, yr 1952,7.2
Qatar,Middle East & North Africa,47.672,,29057, yr 1952,6.97
Saudi Arabia,Middle East & North Africa,39.578,6459.554823,4005677, yr 1952,7.176
Syria,Middle East & North Africa,,1834.909922,3661549, yr 1952,7.285
Tunisia,Middle East & North Africa,44.35,1468.475631,3647735, yr 1952,6.92
United Arab Emirates,Middle East & North Africa,47.664,,75273, yr 1952,6.968
West Bank and Gaza,Middle East & North Africa,42.91,1515.592329,1030585, yr 1952,
"Yemen, Rep.",Middle East & North Africa,32.403,781.7175761,4963829, yr 1952,8.19
Yemen Arab Republic (Former),Middle East & North Africa,,,, yr 1952,
Yemen Democratic (Former),Middle East & North Africa,,,, yr 1952,
Anguilla,America,,,5303, yr 1952,
Antigua and Barbuda,America,,,47961, yr 1952,
Argentina,America,62.506,5911.315053,17876956, yr 1952,3.157
Aruba,America,60.011,,51955, yr 1952,5.695
Bahamas,America,,,76217, yr 1952,4.025
Barbados,America,56.645,,217959, yr 1952,4.662
Belize,America,57.422,,69932, yr 1952,6.66
Bermuda,America,,,39876, yr 1952,
Bolivia,America,40.294,2677.326347,2883315, yr 1952,6.748
Brazil,America,50.67,2108.944355,56602560, yr 1952,6.149
British Virgin Islands,America,,,6304, yr 1952,
Canada,America,68.75,11367.16112,14785584, yr 1952,3.612
Cayman Islands,America,,,6518, yr 1952,
Chile,America,54.669,3939.978789,6377619, yr 1952,4.884
Colombia,America,50.135,2144.115096,12350771, yr 1952,6.759
Costa Rica,America,56.97,2627.009471,926317, yr 1952,6.677
Cuba,America,59.188,5586.53878,6007797, yr 1952,4.218
Dominica,America,,,, yr 1952,
Dominican Rep.,America,,1397.717137,2491346, yr 1952,7.589
Ecuador,America,48.05,3522.110717,3548753, yr 1952,6.7
El Salvador,America,44.614,3048.3029,2042865, yr 1952,6.265
Falkland Islands (Malvinas),America,,,, yr 1952,
French Guiana,America,53.012,,26664, yr 1952,5.011
Grenada,America,62.584,,78339, yr 1952,5.686
Guadeloupe,America,55.987,,218011, yr 1952,5.609
Guatemala,America,41.838,2428.237769,3146381, yr 1952,7.045
Guyana,America,52.058,,451430, yr 1952,6.659
Haiti,America,37.262,1840.366939,3201488, yr 1952,6.299
Honduras,America,41.591,2194.926204,1517453, yr 1952,6.624
Jamaica,America,58.101,2898.530881,1426095, yr 1952,4.128
Martinique,America,56.149,,226688, yr 1952,5.705
Mexico,America,50.207,3478.125529,30144317, yr 1952,6.687
Montserrat,America,,,13173, yr 1952,
Netherlands Antilles,America,60.044,,115318, yr 1952,5.695
Nicaragua,America,41.97,3112.363948,1165790, yr 1952,7.158
Panama,America,54.826,2480.380334,940080, yr 1952,5.655
Paraguay,America,62.572,1952.308701,1555876, yr 1952,6.499
Peru,America,43.67,3758.523437,8025700, yr 1952,6.852
Puerto Rico,America,63.797,3081.959785,2227000, yr 1952,4.979
Saint Barthélemy,America,,,, yr 1952,
Saint Martin,America,,,, yr 1952,
Saint-Pierre-et-Miquelon,America,,,4622, yr 1952,
Saint Kitts and Nevis,America,,,46171, yr 1952,
Saint Lucia,America,,,82114, yr 1952,5.886
Saint Vincent and the Grenadines,America,,,70523, yr 1952,7.324
Suriname,America,55.726,,219442, yr 1952,6.559
Trinidad and Tobago,America,58.833,3023.271928,662850, yr 1952,5.293
Turks and Caicos Islands,America,,,5030, yr 1952,
United States,America,68.44,17039.3819,157553000, yr 1952,3.408
Uruguay,America,66.175,5716.766744,2252965, yr 1952,2.72
Abkhazia,Europe & Central Asia,,,, yr 1952,
Akrotiri and Dhekelia,Europe & Central Asia,,,, yr 1952,
Albania,Europe & Central Asia,54.845,1601.056136,1282697, yr 1952,5.547
Andorra,Europe & Central Asia,,,5866, yr 1952,
Armenia,Europe & Central Asia,62.581,,1416722, yr 1952,4.492
Austria,Europe & Central Asia,66.8,6137.076492,6927772, yr 1952,2.035
Azerbaijan,Europe & Central Asia,57.761,,3090973, yr 1952,5.505
Belarus,Europe & Central Asia,65.692,,7698249, yr 1952,2.595
Belgium,Europe & Central Asia,68,8343.105127,8730405, yr 1952,2.327
Bosnia and Herzegovina,Europe & Central Asia,53.335,973.5331948,2791000, yr 1952,4.875
Bulgaria,Europe & Central Asia,59.6,2444.286648,7274900, yr 1952,2.503
Channel Islands,Europe & Central Asia,70.519,,103810, yr 1952,2.042
Croatia,Europe & Central Asia,60.831,3119.23652,3882229, yr 1952,2.797
Cyprus,Europe & Central Asia,66.88,,, yr 1952,3.727
Czech Rep.,Europe & Central Asia,,6876.14025,9125183, yr 1952,2.728
Czechoslovakia,Europe & Central Asia,,,12683320, yr 1952,
Denmark,Europe & Central Asia,70.78,9035.665813,4334000, yr 1952,2.535
East Germany,Europe & Central Asia,,,, yr 1952,
Estonia,Europe & Central Asia,65.085,,1130445, yr 1952,2.068
Faeroe Islands,Europe & Central Asia,,,32500, yr 1952,
Finland,Europe & Central Asia,66.55,6424.519071,4090500, yr 1952,3.06
France,Europe & Central Asia,67.41,7550.908677,42459667, yr 1952,2.729
Georgia,Europe & Central Asia,60.401,,3628347, yr 1952,3.011
Germany,Europe & Central Asia,67.332,,, yr 1952,2.146
Gibraltar,Europe & Central Asia,,,23332, yr 1952,
Greece,Europe & Central Asia,65.653,3269.312132,7733250, yr 1952,2.291
Greenland,Europe & Central Asia,,,23100, yr 1952,
Guernsey,Europe & Central Asia,,,45725, yr 1952,
Holy See,Europe & Central Asia,,,, yr 1952,
Hungary,Europe & Central Asia,64.03,5263.673816,9504000, yr 1952,2.785
Iceland,Europe & Central Asia,72.49,7267.688428,147962, yr 1952,3.659
Ireland,Europe & Central Asia,67.2,5210.280328,2952156, yr 1952,3.349
Isle of Man,Europe & Central Asia,,5652.601107,53137, yr 1952,
Italy,Europe & Central Asia,65.94,4931.404155,47666000, yr 1952,2.366
Jersey,Europe & Central Asia,,,58085, yr 1952,
Kazakhstan,Europe & Central Asia,54.813,,7123394, yr 1952,
Kosovo,Europe & Central Asia,,,5796017, yr 1952,
Kyrgyzstan,Europe & Central Asia,,,1786533, yr 1952,4.479
Latvia,Europe & Central Asia,65.703,,1964319, yr 1952,2.004
Liechtenstein,Europe & Central Asia,,,13900, yr 1952,
Lithuania,Europe & Central Asia,64.492,,2583984, yr 1952,2.711
Luxembourg,Europe & Central Asia,65.761,14326.13779,299263, yr 1952,1.953
"Macedonia, FYR",Europe & Central Asia,54.535,1905.933975,1271611, yr 1952,5.4
Malta,Europe & Central Asia,65.699,,316619, yr 1952,4.172
Moldova,Europe & Central Asia,58.184,,2466740, yr 1952,3.502
Monaco,Europe & Central Asia,,,18188, yr 1952,
Montenegro,Europe & Central Asia,58.951,,7273981, yr 1952,3.272
Netherlands,Europe & Central Asia,,,, yr 1952,
Ngorno-Karabakh,Europe & Central Asia,,,, yr 1952,
Northern Cyprus,Europe & Central Asia,,,, yr 1952,
Norway,Europe & Central Asia,72.67,9126,3327728, yr 1952,2.61
Poland,Europe & Central Asia,60.828,4029.329699,25730551, yr 1952,3.648
Portugal,Europe & Central Asia,59.82,3068.319867,8526050, yr 1952,3.04
Romania,Europe & Central Asia,60.735,3144.613186,16630000, yr 1952,2.891
Russia,Europe & Central Asia,,,105385090, yr 1952,2.848
San Marino,Europe & Central Asia,,,13176, yr 1952,
Serbia,Europe & Central Asia,57.611,,, yr 1952,3.272
Serbia and Montenegro,Europe & Central Asia,,,7273981, yr 1952,
Serbia excluding Kosovo,Europe & Central Asia,,,5796017, yr 1952,
Slovak Republic,Europe & Central Asia,64.36,5074.659104,3558137, yr 1952,3.543
Slovenia,Europe & Central Asia,65.322,4215.041741,1489518, yr 1952,2.847
South Ossetia,Europe & Central Asia,,,, yr 1952,
Spain,Europe & Central Asia,64.94,3834.034742,28549870, yr 1952,2.551
Svalbard,Europe & Central Asia,,,, yr 1952,
Sweden,Europe & Central Asia,71.86,9223,7124673, yr 1952,2.212
Switzerland,Europe & Central Asia,69.62,14734.23275,4815000, yr 1952,2.275
Tajikistan,Europe & Central Asia,52.938,,1640949, yr 1952,5.973
Transnistria,Europe & Central Asia,,,, yr 1952,
Turkey,Europe & Central Asia,43.124,2376.314083,22235677, yr 1952,6.963
Turkmenistan,Europe & Central Asia,51.132,,1252749, yr 1952,6.004
Ukraine,Europe & Central Asia,65.579,,38006180, yr 1952,2.815
United Kingdom,Europe & Central Asia,69.6,9979.508487,50430000, yr 1952,2.148
USSR,Europe & Central Asia,,,185855870, yr 1952,
Uzbekistan,Europe & Central Asia,55.593,,6681196, yr 1952,5.912
Yugoslavia,Europe & Central Asia,54.96,,16708339, yr 1952,
Åland,Europe & Central Asia,,,, yr 1952,
American Samoa,East Asia & Pacific,,,19300, yr 1952,
Australia,East Asia & Pacific,69.12,10039.59564,8691212, yr 1952,3.181
Brunei,East Asia & Pacific,60.255,,50634, yr 1952,6.993
Cambodia,East Asia & Pacific,39.222,368.4692856,4693836, yr 1952,6.294
China,East Asia & Pacific,40.405,473.3772825,568910000, yr 1952,6.47
Christmas Island,East Asia & Pacific,,,, yr 1952,
Cocos Island,East Asia & Pacific,,,, yr 1952,
Cook Islands,East Asia & Pacific,,,15286, yr 1952,
Fiji,East Asia & Pacific,52.248,,303594, yr 1952,6.59
French Polynesia,East Asia & Pacific,48.206,,64500, yr 1952,5.954
Guam,East Asia & Pacific,56.725,,63600, yr 1952,5.493
"Hong Kong, China",East Asia & Pacific,60.564,3054.421209,2125900, yr 1952,4.414
Indonesia,East Asia & Pacific,37.231,749.6816546,82052000, yr 1952,5.463
Japan,East Asia & Pacific,63.03,3216.956347,86459025, yr 1952,3.096
Kiribati,East Asia & Pacific,,,34792, yr 1952,
"Korea, Dem. Rep.",East Asia & Pacific,49.628,777,8865488, yr 1952,3.3
"Korea, Rep.",East Asia & Pacific,47.418,736,20947571, yr 1952,
Laos,East Asia & Pacific,,792.3186185,1957268, yr 1952,6.112
"Macao, China",East Asia & Pacific,53.663,,199489, yr 1952,5.045
Malaysia,East Asia & Pacific,48.099,1831.132894,6748378, yr 1952,6.815
Marshall Islands,East Asia & Pacific,,,11640, yr 1952,
"Micronesia, Fed. Sts.",East Asia & Pacific,54.377,,32664, yr 1952,7.222
Mongolia,East Asia & Pacific,41.943,786.5668575,800663, yr 1952,6.002
Myanmar,East Asia & Pacific,35.757,507.3188567,20092996, yr 1952,6.002
Nauru,East Asia & Pacific,,,3244, yr 1952,
New Caledonia,East Asia & Pacific,51.27,,58615, yr 1952,5.004
New Zealand,East Asia & Pacific,69.39,10556.57566,1994794, yr 1952,3.31918
Niue,East Asia & Pacific,,,, yr 1952,
Norfolk Island,East Asia & Pacific,,,, yr 1952,
Northern Mariana Islands,East Asia & Pacific,,,6736, yr 1952,
Palau,East Asia & Pacific,,,7651, yr 1952,
Papua New Guinea,East Asia & Pacific,34.425,,1465469, yr 1952,6.236
Philippines,East Asia & Pacific,47.407,1272.880995,22438691, yr 1952,6.03
Pitcairn,East Asia & Pacific,,,, yr 1952,
Samoa,East Asia & Pacific,45.669,,86746, yr 1952,6.846462
Singapore,East Asia & Pacific,60.114,2315.138227,1127000, yr 1952,6.429
Solomon Islands,East Asia & Pacific,45.132,,109424, yr 1952,6.4
Taiwan,East Asia & Pacific,58.5,1468,8550362, yr 1952,
Thailand,East Asia & Pacific,51.438,757.7974177,21289402, yr 1952,6.344
Timor-Leste,East Asia & Pacific,29.727,,450195, yr 1952,6.451
Tokelau,East Asia & Pacific,,,, yr 1952,
Tonga,East Asia & Pacific,58.466,,49066, yr 1952,7.299
Tuvalu,East Asia & Pacific,,,4788, yr 1952,
Wallis et Futuna,East Asia & Pacific,,,7138, yr 1952,
Venezuela,America,,7689.799761,5439568, yr 1952,6.46
West Germany,Europe & Central Asia,,,, yr 1952,
Western Sahara,Middle East & North Africa,35.323,,9169, yr 1952,6.6
Vietnam,East Asia & Pacific,40.165,605.0664917,26246839, yr 1952,5.665
Virgin Islands (U.S.),America,,,, yr 1952,
Vanuatu,East Asia & Pacific,41.7,,54554, yr 1952,7.623
"Korea, United",East Asia & Pacific,,,29813059, yr 1952,
Angola,Sub-Saharan Africa,31.399,3549.035343,4490992, yr 1956,7.142
Benin,Sub-Saharan Africa,38.897,980.063476,1884978, yr 1956,5.866
Botswana,Sub-Saharan Africa,49.052,905.9083337,467765, yr 1956,6.553
Burkina Faso,Sub-Saharan Africa,35.261,601.987882,4663691, yr 1956,6.205
Burundi,Sub-Saharan Africa,40.084,372.0046252,2621454, yr 1956,6.801
Cameroon,Sub-Saharan Africa,39.828,1284.38948,5283822, yr 1956,5.652
Cape Verde,Sub-Saharan Africa,50.291,604.2715576,174228, yr 1956,6.838
Central African Rep.,Sub-Saharan Africa,,1167.26665,1369678, yr 1956,5.692
Chad,Sub-Saharan Africa,39.338,1281.990419,2849247, yr 1956,6.17
Comoros,Sub-Saharan Africa,41.91,1193.113143,167245, yr 1956,6.46
"Congo, Dem. Rep.",Sub-Saharan Africa,40.201,896.3768632,15259279, yr 1956,5.972
"Congo, Rep.",Sub-Saharan Africa,45.465,2277.929335,921651, yr 1956,5.743
Cote d'Ivoire,Sub-Saharan Africa,38.738,1478.006825,3231423, yr 1956,7.042
Equatorial Guinea,Sub-Saharan Africa,35.533,418.3435369,229383, yr 1956,5.495
Eritrea,Sub-Saharan Africa,37.413,,, yr 1956,6.984
Eritrea and Ethiopia,Sub-Saharan Africa,,,23915607, yr 1956,
Ethiopia,Sub-Saharan Africa,35.806,388.7919379,22395376, yr 1956,6.949
Gabon,Sub-Saharan Africa,38.442,4833.631106,431741, yr 1956,3.968
Gambia,Sub-Saharan Africa,,515.4573403,314547, yr 1956,5.49
Ghana,Sub-Saharan Africa,44.685,1039.118957,6216679, yr 1956,6.578
Guinea,Sub-Saharan Africa,36.436,,1591955, yr 1956,6.254
Guinea-Bissau,Sub-Saharan Africa,33.433,516.4971532,596365, yr 1956,6.137
Kenya,Sub-Saharan Africa,43.874,941.4625714,7240247, yr 1956,7.7
Lesotho,Sub-Saharan Africa,44.23,329.1997975,799548, yr 1956,5.863
Liberia,Sub-Saharan Africa,38.425,613.6727615,951644, yr 1956,6.995
Madagascar,Sub-Saharan Africa,38.226,1560.029514,5090058, yr 1956,7.3
Malawi,Sub-Saharan Africa,36.887,408.5194358,3151911, yr 1956,6.809
Mali,Sub-Saharan Africa,35.819,482.4222836,4157879, yr 1956,6.566
Mauritania,Sub-Saharan Africa,43.169,825.3470231,1064559, yr 1956,6.632
Mauritius,Sub-Saharan Africa,56.597,2018.862868,591764, yr 1956,6.064
Mayotte,Sub-Saharan Africa,53.97,,24913, yr 1956,
Mozambique,Sub-Saharan Africa,33.052,494.020779,6906364, yr 1956,6.6
Namibia,Sub-Saharan Africa,44.241,2587.277872,534767, yr 1956,6.069
Niger,Sub-Saharan Africa,,,, yr 1956,
Nigeria,Sub-Saharan Africa,36.862,1082.520384,36306207, yr 1956,6.548
Reunion,Sub-Saharan Africa,54.343,2781.866119,296000, yr 1956,5.847
Rwanda,Sub-Saharan Africa,41.056,532.7615924,2758591, yr 1956,7.953
Saint Helena,Sub-Saharan Africa,,,5266, yr 1956,
Sao Tome and Principe,Sub-Saharan Africa,48.148,868.2120919,60797, yr 1956,6.187
Senegal,Sub-Saharan Africa,39.408,1544.672693,2989276, yr 1956,6.34
Seychelles,Sub-Saharan Africa,,5135.942815,37619, yr 1956,
Sierra Leone,Sub-Saharan Africa,32.662,981.9676148,2263758, yr 1956,5.57
Somalia,Sub-Saharan Africa,34.377,1236.833051,2725932, yr 1956,7.25
Somaliland,Sub-Saharan Africa,,,, yr 1956,
South Africa,Sub-Saharan Africa,47.222,5370.008789,15755233, yr 1956,6.528
Sudan,Sub-Saharan Africa,42.087,1844.530025,9489777, yr 1956,6.656
Swaziland,Sub-Saharan Africa,42.889,1228.312196,318904, yr 1956,6.693
Tanzania,Sub-Saharan Africa,42.526,700.3209546,, yr 1956,6.791
Togo,Sub-Saharan Africa,43.013,913.1647992,1327270, yr 1956,6.377
Uganda,Sub-Saharan Africa,41.782,763.1372031,6493361, yr 1956,6.929
Zambia,Sub-Saharan Africa,43.496,1289.239657,2941000, yr 1956,6.843
Zimbabwe,Sub-Saharan Africa,49.93,500.8956543,3529739, yr 1956,6.929
Afghanistan,South Asia,29.852,837.0669354,9061938, yr 1956,7.7
Bangladesh,South Asia,38.768,688,50477738, yr 1956,6.739
Bhutan,South Asia,36.375,,809486, yr 1956,6.67
India,South Asia,39.984,651,401000000, yr 1956,5.91
Maldives,South Asia,41.07,,81585, yr 1956,7
Nepal,South Asia,37.205,604.3082083,9580247, yr 1956,6.153
Pakistan,South Asia,47.704,734,45535711, yr 1956,6.598
Sri Lanka,South Asia,55.742,1084.424793,8898480, yr 1956,5.876
Algeria,Middle East & North Africa,44.897,2764.423629,10057133, yr 1956,7.266
Bahrain,Middle East & North Africa,52.933,11308.30636,134207, yr 1956,6.95
Djibouti,Middle East & North Africa,36.593,2836.842711,69892, yr 1956,7.802
Egypt,Middle East & North Africa,,1426.57148,24425817, yr 1956,6.617
Iran,Middle East & North Africa,,2684.957209,19249000, yr 1956,7.002
Iraq,Middle East & North Africa,46.132,6054.155175,6073493, yr 1956,6.34
Israel,Middle East & North Africa,67.223,5208.0552,1850059, yr 1956,3.944
Jordan,Middle East & North Africa,44.909,1917.526096,715991, yr 1956,7.308
Kuwait,Middle East & North Africa,57.294,118681.3003,196601, yr 1956,7.196
Lebanon,Middle East & North Africa,58.551,6129.261823,1603579, yr 1956,5.731
Libya,Middle East & North Africa,44.526,3385.728399,1160947, yr 1956,6.926
Morocco,Middle East & North Africa,44.665,1678.430354,11088510, yr 1956,7.185
Oman,Middle East & North Africa,39.244,2155.839893,549950, yr 1956,7.2
Qatar,Middle East & North Africa,49.897,,36952, yr 1956,6.971
Saudi Arabia,Middle East & North Africa,41.955,8042.357973,4328970, yr 1956,7.165
Syria,Middle East & North Africa,,2270.138895,4040976, yr 1956,7.407
Tunisia,Middle East & North Africa,46.349,1472.771748,3903067, yr 1956,7
United Arab Emirates,Middle East & North Africa,49.965,,85831, yr 1956,6.984
West Bank and Gaza,Middle East & North Africa,44.911,1757.708914,1061298, yr 1956,
"Yemen, Rep.",Middle East & North Africa,33.562,800.9672478,5380106, yr 1956,8.27
Yemen Arab Republic (Former),Middle East & North Africa,,,, yr 1956,
Yemen Democratic (Former),Middle East & North Africa,,,, yr 1956,
Anguilla,America,,,5473, yr 1956,
Antigua and Barbuda,America,,,52191, yr 1956,
Argentina,America,64.299,6630.034401,19271511, yr 1956,3.136
Aruba,America,63.422,,54516, yr 1956,5.334
Bahamas,America,,,91596, yr 1956,4.243
Barbados,America,61.241,,225962, yr 1956,4.726
Belize,America,59.429,,79651, yr 1956,6.58
Bermuda,America,,,42020, yr 1956,
Bolivia,America,41.459,2249.186091,3141998, yr 1956,6.765
Brazil,America,52.576,2376.501261,63631992, yr 1956,6.157
British Virgin Islands,America,,,6730, yr 1956,
Canada,America,70.04,12555.54947,16445087, yr 1956,3.874
Cayman Islands,America,,,7086, yr 1956,
Chile,America,55.715,4004.522058,6888843, yr 1956,5.408
Colombia,America,54.015,2321.01825,14029321, yr 1956,6.767
Costa Rica,America,59.288,2859.875113,1071654, yr 1956,7.047
Cuba,America,61.523,5429.239504,6512938, yr 1956,3.665
Dominica,America,,,, yr 1956,
Dominican Rep.,America,,1501.652565,2827784, yr 1956,7.676
Ecuador,America,50.444,3717.830121,3948587, yr 1956,6.703
El Salvador,America,48.104,3346.593952,2286889, yr 1956,6.531
Falkland Islands (Malvinas),America,,,, yr 1956,
French Guiana,America,55.164,,29145, yr 1956,4.925
Grenada,America,62.968,,85809, yr 1956,6.59
Guadeloupe,America,60.326,,242078, yr 1956,5.615
Guatemala,America,43.452,2550.951732,3535792, yr 1956,6.682
Guyana,America,54.073,,505229, yr 1956,6.832
Haiti,America,39.792,1871.580727,3441339, yr 1956,6.303
Honduras,America,43.712,2191.200247,1715023, yr 1956,7.508
Jamaica,America,61.535,4220.496363,1509975, yr 1956,4.867
Martinique,America,59.613,,252779, yr 1956,5.746
Mexico,America,54.067,3953.72429,33945886, yr 1956,6.79
Montserrat,America,,,12647, yr 1956,
Netherlands Antilles,America,63.455,,125362, yr 1956,5.334
Nicaragua,America,44.451,3288.889437,1317387, yr 1956,7.497
Panama,America,58.302,2750.551149,1036550, yr 1956,5.855
Paraguay,America,62.952,2006.181608,1726702, yr 1956,6.51
Peru,America,45.505,4157.300479,8904900, yr 1956,6.857
Puerto Rico,America,67.666,3738.966808,2249000, yr 1956,4.906
Saint Barthélemy,America,,,, yr 1956,
Saint Martin,America,,,, yr 1956,
Saint-Pierre-et-Miquelon,America,,,4721, yr 1956,
Saint Kitts and Nevis,America,,,50932, yr 1956,
Saint Lucia,America,,,87447, yr 1956,6.798
Saint Vincent and the Grenadines,America,,,76717, yr 1956,7.373
Suriname,America,58.002,,248363, yr 1956,6.566
Trinidad and Tobago,America,60.962,3881.042738,742500, yr 1956,5.345
Turks and Caicos Islands,America,,,5269, yr 1956,
United States,America,69.71,17783.272,168903000, yr 1956,3.714
Uruguay,America,66.93,6182.25544,2389290, yr 1956,2.805
Abkhazia,Europe & Central Asia,,,, yr 1956,
Akrotiri and Dhekelia,Europe & Central Asia,,,, yr 1956,
Albania,Europe & Central Asia,57.912,1825.302487,1434476, yr 1956,5.943
Andorra,Europe & Central Asia,,,6221, yr 1956,
Armenia,Europe & Central Asia,64.283,,1617460, yr 1956,4.506
Austria,Europe & Central Asia,67.72,8348.449465,6952359, yr 1956,2.394
Azerbaijan,Europe & Central Asia,59.383,,3416717, yr 1956,5.403
Belarus,Europe & Central Asia,67.357,,7856790, yr 1956,2.716
Belgium,Europe & Central Asia,68.87,9529.403593,8923845, yr 1956,2.455
Bosnia and Herzegovina,Europe & Central Asia,57.214,1170.757903,3025000, yr 1956,4.434
Bulgaria,Europe & Central Asia,65.21,2747.377929,7575800, yr 1956,2.317
Channel Islands,Europe & Central Asia,70.896,,106690, yr 1956,2.156
