age_midpt,age_cat,sex,ethnicity,highest_qualification,weekly_hrs,weekly_income
52.5,50-54,Female,Maori,School,35,1090
27.5,25-29,Female,Other,School,23,470
27.5,25-29,Female,Europ,Vocational,10,400
37.5,35-39,Female,Europ,Vocational,20,620
52.5,50-54,Female,Europ,NoQual,24,170
27.5,25-29,Female,Europ,Vocational,14,160
37.5,35-39,Male,Europ,Vocational,40,1220
32.5,30-34,Male,Europ,OthPostSec,44,980
52.5,50-54,Male,Europ,Vocational,40,890
27.5,25-29,Female,Europ,OthPostSec,30,400
37.5,35-39,Male,Maori,NoQual,65,1320
47.5,45-49,Female,Europ,Vocational,37,390
32.5,30-34,Male,Europ,OthPostSec,56,750
57.5,55-59,Male,Europ,School,29,1780
52.5,50-54,Female,Europ,NoQual,22,210
57.5,55-59,Female,Europ,BachDeg+,12,460
32.5,30-34,Male,Europ,Vocational,64,750
52.5,50-54,Female,Europ,NoQual,76,960
47.5,45-49,Female,Europ,Vocational,35,1040
37.5,35-39,Male,Europ,Vocational,79,650
27.5,25-29,Male,Other,Vocational,26,620
32.5,30-34,Female,Europ,School,37,450
27.5,25-29,Male,Europ,Vocational,45,750
27.5,25-29,Female,Europ,BachDeg+,24,500
47.5,45-49,Female,Europ,OthPostSec,29,400
42.5,40-44,Female,Europ,School,20,1130
32.5,30-34,Female,Europ,OthPostSec,68,740
32.5,30-34,Male,Pacific,School,41,500
47.5,45-49,Male,Other,Vocational,20,470
27.5,25-29,Male,Europ,BachDeg+,40,690
57.5,55-59,Female,Europ,Vocational,38,470
42.5,40-44,Female,Other,School,38,460
37.5,35-39,Male,Europ,NoQual,25,440
37.5,35-39,Male,Maori,Vocational,40,480
37.5,35-39,Female,Europ,OthPostSec,38,570
57.5,55-59,Male,Europ,Vocational,55,650
42.5,40-44,Female,Europ,NoQual,53,900
42.5,40-44,Male,Europ,Vocational,42,570
47.5,45-49,Female,Europ,OthPostSec,10,350
27.5,25-29,Female,Europ,BachDeg+,44,1400
47.5,45-49,Male,Europ,NoQual,58,1160
32.5,30-34,Female,Maori,School,22,310
57.5,55-59,Male,Europ,Vocational,40,670
32.5,30-34,Female,Pacific,Vocational,40,480
32.5,30-34,Female,Europ,Vocational,50,550
32.5,30-34,Female,Other,Vocational,17,350
37.5,35-39,Male,Pacific,School,40,460
62.5,60-64,Male,Europ,Vocational,80,1350
27.5,25-29,Male,Europ,Vocational,40,670
37.5,35-39,Male,Maori,Vocational,40,990
37.5,35-39,Female,Europ,BachDeg+,8,110
47.5,45-49,Male,NonMaoriComb,Vocational,50,1370
52.5,50-54,Male,Maori,OthPostSec,30,910
47.5,45-49,Male,Pacific,Vocational,40,500
47.5,45-49,Female,Europ,School,35,990
47.5,45-49,Female,Europ,School,22,430
47.5,45-49,Male,MaoriCombin,NoQual,58,400
32.5,30-34,Female,Europ,BachDeg+,40,1180
42.5,40-44,Male,Europ,Vocational,60,860
47.5,45-49,Female,Europ,School,15,210
42.5,40-44,Female,Europ,NoQual,38,840
52.5,50-54,Female,Europ,Vocational,20,850
37.5,35-39,Female,Europ,BachDeg+,38,750
37.5,35-39,Female,Europ,School,23,210
32.5,30-34,Male,Maori,BachDeg+,41,1340
47.5,45-49,Female,Europ,BachDeg+,60,2040
52.5,50-54,Male,Europ,Vocational,43,730
42.5,40-44,Female,Maori,School,21,390
32.5,30-34,Male,Europ,School,45,540
52.5,50-54,Male,Europ,School,40,790
37.5,35-39,Male,Europ,School,40,1080
52.5,50-54,Male,Europ,BachDeg+,35,1310
37.5,35-39,Male,Europ,Vocational,45,1660
37.5,35-39,Male,Europ,Vocational,46,730
52.5,50-54,Female,Europ,School,38,660
57.5,55-59,Female,Other,OthPostSec,47,460
32.5,30-34,Female,MaoriCombin,School,40,470
37.5,35-39,Female,Europ,BachDeg+,26,840
37.5,35-39,Female,Maori,BachDeg+,48,150
42.5,40-44,Male,Europ,BachDeg+,55,1170
47.5,45-49,Male,Europ,NoQual,40,630
52.5,50-54,Male,Europ,Vocational,40,640
47.5,45-49,Male,Other,Vocational,46,590
57.5,55-59,Male,Europ,School,25,270
52.5,50-54,Female,Europ,NoQual,22,340
52.5,50-54,Female,Other,School,48,400
62.5,60-64,Female,Europ,NoQual,40,370
37.5,35-39,Female,Europ,Vocational,40,810
37.5,35-39,Male,Europ,Vocational,28,570
52.5,50-54,Male,Europ,BachDeg+,31,90
42.5,40-44,Female,Maori,Vocational,40,560
42.5,40-44,Female,Europ,Vocational,40,1640
47.5,45-49,Male,Europ,Vocational,50,7710
32.5,30-34,Female,Europ,School,30,610
37.5,35-39,Male,Europ,Vocational,41,1390
37.5,35-39,Male,Europ,OthPostSec,70,1180
47.5,45-49,Female,Maori,Vocational,42,890
42.5,40-44,Female,Europ,NoQual,30,680
27.5,25-29,Female,Europ,School,37,750
57.5,55-59,Male,Europ,BachDeg+,40,1650
47.5,45-49,Female,Europ,BachDeg+,24,330
57.5,55-59,Male,Europ,Vocational,40,500
32.5,30-34,Female,Europ,Vocational,40,930
32.5,30-34,Female,Europ,BachDeg+,27,1220
37.5,35-39,Male,Europ,School,40,1000
62.5,60-64,Female,Europ,School,40,1020
37.5,35-39,Female,Europ,Vocational,14,320
37.5,35-39,Male,Europ,Vocational,40,1390
37.5,35-39,Male,Europ,BachDeg+,34,1150
62.5,60-64,Female,Europ,School,20,480
27.5,25-29,Female,Other,School,20,530
57.5,55-59,Male,Europ,Vocational,50,1120
37.5,35-39,Male,Europ,BachDeg+,28,1100
37.5,35-39,Male,Europ,NoQual,25,410
47.5,45-49,Male,Europ,BachDeg+,55,1100
37.5,35-39,Female,Europ,Vocational,21,210
37.5,35-39,Female,Europ,BachDeg+,19,360
32.5,30-34,Male,Europ,Vocational,55,650
42.5,40-44,Female,Maori,Vocational,18,340
57.5,55-59,Female,Europ,NoQual,30,490
27.5,25-29,Female,Europ,Vocational,20,830
37.5,35-39,Female,Europ,NoQual,9,520
62.5,60-64,Male,Europ,NoQual,45,1300
27.5,25-29,Female,Maori,OthPostSec,22,270
47.5,45-49,Female,Europ,School,20,220
27.5,25-29,Female,Pacific,Vocational,30,560
42.5,40-44,Male,Europ,Vocational,40,580
42.5,40-44,Male,Europ,BachDeg+,40,1660
32.5,30-34,Female,Europ,Vocational,37,770
37.5,35-39,Female,Europ,Vocational,40,910
27.5,25-29,Male,Europ,BachDeg+,56,1200
47.5,45-49,Male,Europ,School,40,1060
27.5,25-29,Male,Europ,Vocational,37,860
42.5,40-44,Male,Europ,School,50,810
57.5,55-59,Male,Europ,Vocational,38,720
32.5,30-34,Female,Pacific,BachDeg+,24,580
52.5,50-54,Male,Europ,BachDeg+,45,1170
32.5,30-34,Female,Europ,School,38,710
47.5,45-49,Female,Europ,BachDeg+,40,1710
27.5,25-29,Female,Maori,Vocational,40,460
57.5,55-59,Male,Europ,Vocational,45,990
37.5,35-39,Male,Europ,Vocational,45,790
37.5,35-39,Male,Europ,OthPostSec,56,1310
32.5,30-34,Male,Pacific,BachDeg+,36,230
42.5,40-44,Male,Europ,Vocational,50,1250
32.5,30-34,Female,Maori,Vocational,21,270
47.5,45-49,Female,Europ,Vocational,43,1250
47.5,45-49,Female,Europ,NoQual,34,560
27.5,25-29,Male,Europ,Vocational,45,500
42.5,40-44,Female,Europ,Vocational,32,400
52.5,50-54,Female,Europ,NoQual,40,630
32.5,30-34,Female,Europ,Vocational,16,300
37.5,35-39,Male,Europ,Vocational,40,890
52.5,50-54,Male,Europ,BachDeg+,40,460
32.5,30-34,Female,MaoriCombin,BachDeg+,38,540
47.5,45-49,Female,MaoriCombin,School,52,580
32.5,30-34,Male,Europ,BachDeg+,24,840
47.5,45-49,Female,Europ,NoQual,20,260
57.5,55-59,Male,Europ,Vocational,55,1790
32.5,30-34,Female,Maori,Vocational,40,610
62.5,60-64,Female,Europ,OthPostSec,28,190
47.5,45-49,Female,Europ,School,42,640
37.5,35-39,Female,Maori,Vocational,20,800
52.5,50-54,Male,Europ,BachDeg+,33,1640
37.5,35-39,Male,Europ,Vocational,27,450
32.5,30-34,Male,Europ,Vocational,48,1140
42.5,40-44,Female,Europ,Vocational,30,510
57.5,55-59,Female,Maori,NoQual,9,250
42.5,40-44,Female,Europ,NoQual,22,580
37.5,35-39,Female,Europ,Vocational,20,230
27.5,25-29,Male,Europ,School,40,600
47.5,45-49,Female,Europ,BachDeg+,24,330
57.5,55-59,Female,Europ,NoQual,18,180
47.5,45-49,Male,Europ,Vocational,50,1270
52.5,50-54,Male,Maori,Vocational,28,560
37.5,35-39,Male,Europ,Vocational,40,750
32.5,30-34,Male,Europ,BachDeg+,79,1610
57.5,55-59,Female,Europ,NoQual,32,360
37.5,35-39,Female,Maori,School,44,920
27.5,25-29,Female,Maori,Vocational,51,1600
52.5,50-54,Female,Europ,School,37,670
52.5,50-54,Female,Europ,NoQual,37,410
42.5,40-44,Female,Europ,School,30,600
47.5,45-49,Female,Europ,Vocational,40,720
27.5,25-29,Male,Europ,BachDeg+,40,430
32.5,30-34,Male,Europ,Vocational,45,1220
37.5,35-39,Female,Europ,NoQual,30,290
47.5,45-49,Male,Europ,Vocational,58,840
47.5,45-49,Female,Europ,NoQual,24,260
32.5,30-34,Male,Europ,BachDeg+,40,760
42.5,40-44,Male,Europ,Vocational,45,710
32.5,30-34,Male,Pacific,NoQual,54,1440
37.5,35-39,Male,Europ,BachDeg+,42,970
42.5,40-44,Male,Europ,NoQual,40,520
42.5,40-44,Male,Europ,NoQual,57,750
42.5,40-44,Male,Europ,NoQual,43,670
32.5,30-34,Female,Europ,Vocational,30,400
47.5,45-49,Female,Europ,Vocational,13,970
42.5,40-44,Male,Europ,Vocational,45,730
47.5,45-49,Male,Europ,BachDeg+,32,510
32.5,30-34,Female,Europ,Vocational,37,580
47.5,45-49,Female,Europ,School,35,350
37.5,35-39,Female,Europ,OthPostSec,23,450
42.5,40-44,Female,Europ,Vocational,34,600
42.5,40-44,Male,Europ,NoQual,50,500
37.5,35-39,Male,Europ,NoQual,40,510
52.5,50-54,Male,Europ,Vocational,43,1220
27.5,25-29,Female,Europ,Vocational,39,570
47.5,45-49,Male,Europ,Vocational,50,1260
52.5,50-54,Male,Europ,Vocational,40,940
32.5,30-34,Male,Europ,Vocational,33,390
47.5,45-49,Female,Europ,School,42,670
37.5,35-39,Female,Europ,Vocational,53,620
37.5,35-39,Male,Maori,OthPostSec,52,1290
32.5,30-34,Male,MaoriCombin,Vocational,55,440
42.5,40-44,Female,Europ,School,40,610
42.5,40-44,Female,Europ,OthPostSec,28,460
27.5,25-29,Female,Europ,Vocational,39,1090
32.5,30-34,Male,Other,BachDeg+,33,280
57.5,55-59,Female,Maori,BachDeg+,45,1080
52.5,50-54,Female,Europ,NoQual,38,370
57.5,55-59,Male,Europ,BachDeg+,42,1850
32.5,30-34,Female,Europ,BachDeg+,30,320
47.5,45-49,Female,Europ,School,50,1080
42.5,40-44,Female,Europ,Vocational,40,400
37.5,35-39,Male,Europ,BachDeg+,50,3150
47.5,45-49,Male,Europ,Vocational,70,660
57.5,55-59,Male,Europ,School,58,650
47.5,45-49,Male,Europ,Vocational,38,960
52.5,50-54,Male,Europ,Vocational,25,750
32.5,30-34,Female,Europ,School,40,540
32.5,30-34,Female,Europ,BachDeg+,35,730
57.5,55-59,Male,Maori,Vocational,27,570
32.5,30-34,Female,Europ,NoQual,17,480
37.5,35-39,Female,Maori,NoQual,44,530
47.5,45-49,Female,Europ,BachDeg+,4,500
42.5,40-44,Female,Europ,Vocational,40,450
32.5,30-34,Female,Europ,School,22,490
52.5,50-54,Female,Europ,NoQual,16,140
37.5,35-39,Female,Maori,Vocational,46,890
47.5,45-49,Female,Europ,School,35,590
47.5,45-49,Female,Europ,BachDeg+,26,700
37.5,35-39,Female,Europ,School,40,800
37.5,35-39,Female,Other,BachDeg+,35,670
42.5,40-44,Female,Maori,Vocational,46,730
42.5,40-44,Male,Europ,School,39,760
27.5,25-29,Female,Pacific,BachDeg+,48,1320
37.5,35-39,Male,Europ,NoQual,40,670
57.5,55-59,Male,Europ,Vocational,42,660
32.5,30-34,Male,Europ,Vocational,40,850
57.5,55-59,Male,Europ,BachDeg+,62,890
42.5,40-44,Male,Europ,Vocational,42,1650
32.5,30-34,Male,Pacific,OthPostSec,55,860
42.5,40-44,Male,Europ,School,39,1060
57.5,55-59,Female,Europ,NoQual,17,130
27.5,25-29,Male,Maori,NoQual,32,380
37.5,35-39,Male,Pacific,School,40,390
32.5,30-34,Male,Europ,School,50,900
37.5,35-39,Female,Europ,Vocational,6,290
57.5,55-59,Male,MaoriCombin,NoQual,78,830
42.5,40-44,Male,Maori,Vocational,36,390
32.5,30-34,Female,Europ,BachDeg+,40,1170
32.5,30-34,Male,MaoriCombin,School,23,410
42.5,40-44,Male,Europ,School,40,1050
32.5,30-34,Female,Europ,BachDeg+,40,590
57.5,55-59,Male,Europ,Vocational,38,710
27.5,25-29,Male,Europ,School,43,640
27.5,25-29,Female,Europ,OthPostSec,11,280
42.5,40-44,Male,Other,BachDeg+,60,730
27.5,25-29,Female,Europ,BachDeg+,42,730
47.5,45-49,Female,Europ,School,38,820
37.5,35-39,Female,Europ,NoQual,33,610
27.5,25-29,Male,Europ,BachDeg+,37,540
52.5,50-54,Male,Pacific,School,43,610
42.5,40-44,Male,Europ,OthPostSec,21,400
27.5,25-29,Female,Other,School,19,270
27.5,25-29,Female,MaoriCombin,School,70,1120
27.5,25-29,Female,Europ,Vocational,39,710
57.5,55-59,Female,MaoriCombin,School,35,900
52.5,50-54,Female,Europ,Vocational,15,400
57.5,55-59,Female,Maori,School,43,1400
32.5,30-34,Female,Europ,School,44,540
42.5,40-44,Female,Europ,NoQual,35,440
27.5,25-29,Female,Maori,NoQual,32,390
47.5,45-49,Female,Other,School,38,310
57.5,55-59,Female,Europ,Vocational,38,460
47.5,45-49,Female,Europ,Vocational,50,630
47.5,45-49,Male,Europ,Vocational,47,790
47.5,45-49,Female,Europ,BachDeg+,52,1450
47.5,45-49,Female,Europ,School,38,400
27.5,25-29,Male,Europ,School,8,220
57.5,55-59,Female,Europ,Vocational,32,640
57.5,55-59,Female,Europ,NoQual,25,480
47.5,45-49,Male,Europ,School,40,1090
32.5,30-34,Female,Europ,NoQual,16,160
52.5,50-54,Female,Europ,Vocational,37,690
47.5,45-49,Male,Europ,NoQual,58,1060
37.5,35-39,Female,Pacific,Vocational,35,700
57.5,55-59,Female,Europ,NoQual,40,540
27.5,25-29,Male,Europ,Vocational,57,1450
42.5,40-44,Male,Europ,Vocational,40,690
62.5,60-64,Female,Europ,NoQual,18,320
52.5,50-54,Male,Maori,Vocational,67,1200
42.5,40-44,Male,Europ,Vocational,55,840
42.5,40-44,Female,Europ,NoQual,15,680
47.5,45-49,Female,Europ,School,24,410
57.5,55-59,Female,Europ,NoQual,35,380
27.5,25-29,Male,Europ,BachDeg+,54,1000
42.5,40-44,Male,Pacific,OthPostSec,48,470
52.5,50-54,Female,Europ,School,38,790
57.5,55-59,Male,Europ,NoQual,45,410
42.5,40-44,Male,Europ,School,39,820
32.5,30-34,Female,Maori,Vocational,40,610
37.5,35-39,Female,Maori,Vocational,115,780
32.5,30-34,Male,Maori,School,32,710
37.5,35-39,Male,Europ,NoQual,40,400
57.5,55-59,Female,Europ,School,26,250
42.5,40-44,Male,Europ,Vocational,58,1270
37.5,35-39,Male,Europ,School,50,1570
37.5,35-39,Female,Europ,NoQual,28,250
42.5,40-44,Female,Maori,NoQual,20,220
52.5,50-54,Female,Europ,School,64,830
32.5,30-34,Male,Europ,Vocational,45,800
37.5,35-39,Female,Europ,BachDeg+,49,1000
47.5,45-49,Male,Europ,Vocational,40,480
42.5,40-44,Female,Europ,NoQual,29,240
32.5,30-34,Male,Europ,Vocational,45,770
57.5,55-59,Female,Europ,OthPostSec,20,320
52.5,50-54,Female,Europ,OthPostSec,21,610
27.5,25-29,Female,NonMaoriComb,Vocational,16,410
52.5,50-54,Male,Europ,OthPostSec,45,730
37.5,35-39,Female,Europ,Vocational,12,280
47.5,45-49,Female,Europ,School,40,620
37.5,35-39,Male,Maori,School,76,730
27.5,25-29,Male,Europ,BachDeg+,45,750
42.5,40-44,Male,Europ,BachDeg+,40,1570
32.5,30-34,Male,Maori,Vocational,40,380
37.5,35-39,Female,MaoriCombin,School,26,490
27.5,25-29,Male,Europ,Vocational,40,450
52.5,50-54,Female,Europ,School,36,930
47.5,45-49,Male,MaoriCombin,NoQual,33,660
62.5,60-64,Male,Europ,School,21,180
52.5,50-54,Female,Europ,Vocational,56,870
52.5,50-54,Female,Europ,Vocational,38,390
27.5,25-29,Female,Europ,School,36,390
32.5,30-34,Female,Europ,Vocational,25,610
52.5,50-54,Male,Other,BachDeg+,75,1110
62.5,60-64,Female,Europ,OthPostSec,29,290
37.5,35-39,Female,Europ,NoQual,40,630
52.5,50-54,Female,Europ,NoQual,40,410
42.5,40-44,Female,Europ,School,13,380
42.5,40-44,Female,Other,School,10,70
32.5,30-34,Male,Pacific,School,40,560
47.5,45-49,Female,Europ,School,25,560
42.5,40-44,Female,Europ,Vocational,37,340
52.5,50-54,Female,Pacific,School,43,610
62.5,60-64,Female,Europ,Vocational,48,450
37.5,35-39,Male,Europ,School,55,880
47.5,45-49,Female,Europ,School,27,390
27.5,25-29,Male,Europ,School,42,560
42.5,40-44,Female,Europ,Vocational,24,290
62.5,60-64,Male,Europ,Vocational,21,600
52.5,50-54,Male,Europ,Vocational,54,620
32.5,30-34,Female,Maori,Vocational,14,330
27.5,25-29,Male,Europ,BachDeg+,69,1550
27.5,25-29,Female,Europ,BachDeg+,42,780
32.5,30-34,Male,Europ,School,89,1160
57.5,55-59,Female,Europ,NoQual,30,210
42.5,40-44,Male,Europ,Vocational,48,560
57.5,55-59,Male,Europ,School,25,320
57.5,55-59,Male,Europ,NoQual,46,1200
27.5,25-29,Female,Europ,BachDeg+,40,1370
57.5,55-59,Male,Europ,NoQual,49,650
57.5,55-59,Female,Europ,NoQual,40,840
32.5,30-34,Female,Europ,School,40,690
47.5,45-49,Female,Europ,School,18,270
32.5,30-34,Female,Europ,NoQual,5,330
37.5,35-39,Male,Europ,Vocational,58,710
27.5,25-29,Male,Europ,Vocational,59,860
52.5,50-54,Male,Maori,BachDeg+,45,2250
37.5,35-39,Female,Europ,BachDeg+,40,930
52.5,50-54,Female,Europ,Vocational,38,940
32.5,30-34,Female,Europ,BachDeg+,47,890
42.5,40-44,Female,Europ,BachDeg+,16,190
37.5,35-39,Female,Europ,School,61,580
32.5,30-34,Female,MaoriCombin,School,17,500
27.5,25-29,Male,Europ,Vocational,40,1070
32.5,30-34,Male,Pacific,BachDeg+,60,1220
47.5,45-49,Female,Europ,NoQual,55,420
52.5,50-54,Male,Europ,OthPostSec,74,1310
47.5,45-49,Female,Europ,NoQual,25,190
57.5,55-59,Male,Other,OthPostSec,54,1690
32.5,30-34,Male,Europ,BachDeg+,40,1970
62.5,60-64,Male,Europ,Vocational,26,500
57.5,55-59,Female,Europ,Vocational,18,410
32.5,30-34,Male,Europ,BachDeg+,40,780
47.5,45-49,Female,Europ,BachDeg+,48,510
47.5,45-49,Male,Europ,Vocational,58,630
62.5,60-64,Female,Europ,OthPostSec,3,190
52.5,50-54,Female,Europ,School,38,620
47.5,45-49,Male,Europ,School,40,650
27.5,25-29,Male,Europ,Vocational,40,580
42.5,40-44,Male,Europ,School,41,710
52.5,50-54,Female,Europ,BachDeg+,63,3630
62.5,60-64,Male,Europ,School,26,460
42.5,40-44,Female,Other,Vocational,32,330
57.5,55-59,Male,Europ,School,12,290
42.5,40-44,Male,Europ,School,56,880
47.5,45-49,Female,Europ,School,38,410
27.5,25-29,Male,Europ,Vocational,35,720
62.5,60-64,Female,Europ,NoQual,36,570
37.5,35-39,Female,Europ,Vocational,30,320
57.5,55-59,Male,Europ,Vocational,40,720
32.5,30-34,Male,Europ,Vocational,40,870
42.5,40-44,Male,Europ,NoQual,40,780
52.5,50-54,Male,Europ,School,54,1470
47.5,45-49,Male,Europ,School,40,600
47.5,45-49,Male,Europ,School,64,770
62.5,60-64,Male,Europ,Vocational,40,820
37.5,35-39,Male,Europ,NoQual,40,520
32.5,30-34,Female,Europ,Vocational,40,970
57.5,55-59,Female,Europ,Vocational,5,30
37.5,35-39,Female,Europ,School,16,210
57.5,55-59,Female,Europ,NoQual,25,280
37.5,35-39,Female,Europ,NoQual,25,320
57.5,55-59,Male,Europ,School,65,1290
47.5,45-49,Female,MaoriCombin,NoQual,20,430
52.5,50-54,Female,Europ,NoQual,37,510
32.5,30-34,Female,Europ,BachDeg+,37,570
42.5,40-44,Male,Europ,Vocational,40,520
57.5,55-59,Male,Europ,Vocational,38,870
57.5,55-59,Female,Europ,NoQual,8,190
62.5,60-64,Female,Europ,NoQual,40,450
27.5,25-29,Female,Europ,Vocational,40,670
37.5,35-39,Female,Europ,Vocational,18,200
32.5,30-34,Female,Europ,OthPostSec,43,590
42.5,40-44,Female,MaoriCombin,Vocational,25,860
42.5,40-44,Male,Other,Vocational,32,1180
62.5,60-64,Male,Pacific,NoQual,39,670
32.5,30-34,Male,Europ,Vocational,41,740
32.5,30-34,Male,Europ,OthPostSec,35,700
32.5,30-34,Male,Europ,School,50,720
57.5,55-59,Female,Europ,School,52,570
47.5,45-49,Female,Europ,School,38,620
47.5,45-49,Male,Other,BachDeg+,19,470
57.5,55-59,Female,Europ,NoQual,40,370
32.5,30-34,Female,Maori,School,21,1190
47.5,45-49,Male,Pacific,School,55,630
32.5,30-34,Male,NonMaoriComb,NoQual,28,410
32.5,30-34,Female,Europ,OthPostSec,51,390
32.5,30-34,Female,MaoriCombin,BachDeg+,40,540
32.5,30-34,Male,Europ,Vocational,66,860
57.5,55-59,Female,Europ,NoQual,46,450
32.5,30-34,Male,Europ,Vocational,40,720
32.5,30-34,Male,Europ,BachDeg+,44,1640
42.5,40-44,Female,Europ,BachDeg+,40,890
32.5,30-34,Male,Europ,NoQual,64,670
42.5,40-44,Female,Europ,Vocational,40,430
47.5,45-49,Male,Europ,School,40,580
27.5,25-29,Female,Maori,Vocational,33,410
32.5,30-34,Female,Europ,School,17,550
37.5,35-39,Male,Europ,NoQual,50,950
62.5,60-64,Female,Europ,OthPostSec,31,460
37.5,35-39,Female,Europ,BachDeg+,31,1320
52.5,50-54,Male,Europ,Vocational,40,740
37.5,35-39,Male,Europ,School,60,790
27.5,25-29,Male,Pacific,Vocational,78,1000
32.5,30-34,Female,Maori,School,38,450
47.5,45-49,Male,Maori,NoQual,87,1120
57.5,55-59,Female,Europ,School,29,360
32.5,30-34,Male,MaoriCombin,School,51,610
37.5,35-39,Male,Maori,School,53,970
27.5,25-29,Male,Europ,Vocational,10,380
37.5,35-39,Female,Europ,School,24,350
52.5,50-54,Male,Pacific,Vocational,70,1150
37.5,35-39,Male,Maori,School,53,1010
47.5,45-49,Female,Europ,School,27,390
37.5,35-39,Male,Europ,BachDeg+,40,980
42.5,40-44,Male,Europ,NoQual,70,630
52.5,50-54,Male,Europ,NoQual,45,630
52.5,50-54,Female,Europ,NoQual,54,710
27.5,25-29,Male,Europ,OthPostSec,43,530
57.5,55-59,Female,Europ,NoQual,22,560
57.5,55-59,Female,Europ,Vocational,43,860
62.5,60-64,Female,Europ,BachDeg+,26,1200
32.5,30-34,Male,Europ,Vocational,40,880
37.5,35-39,Male,Europ,School,56,1680
37.5,35-39,Male,Europ,NoQual,50,1040
27.5,25-29,Female,Europ,Vocational,24,310
57.5,55-59,Female,Europ,Vocational,35,300
42.5,40-44,Male,Europ,Vocational,40,980
62.5,60-64,Male,Europ,Vocational,39,660
32.5,30-34,Female,Europ,Vocational,40,540
57.5,55-59,Male,Europ,BachDeg+,40,1320
37.5,35-39,Male,MaoriCombin,Vocational,58,680
37.5,35-39,Female,Europ,Vocational,19,260
27.5,25-29,Male,Europ,Vocational,45,870
37.5,35-39,Male,Europ,Vocational,45,1310
42.5,40-44,Male,Maori,BachDeg+,52,1310
52.5,50-54,Female,Maori,Vocational,24,250
27.5,25-29,Female,Europ,School,12,390
42.5,40-44,Male,Europ,School,50,1050
37.5,35-39,Male,Europ,NoQual,44,500
27.5,25-29,Female,Pacific,Vocational,34,460
