Time,Australia,"China, People's Republic of",Japan,United Kingdom
2004M03,30589,5070,9258,34924
2004M04,32308,4916,6241,25436
2004M05,19846,4606,5818,15618
2004M06,18048,4032,4625,13050
2004M07,24947,4926,5966,14196
2004M08,21124,4779,8713,14625
2004M09,27120,4082,6289,11719
2004M10,24807,4288,5570,15108
2004M11,22556,4834,7458,22665
2004M12,41475,5178,7032,33826
2005M01,47896,4600,6839,39908
2005M02,30735,5801,8310,47565
2005M03,32720,4341,8098,37183
2005M04,28763,4452,5502,23989
2005M05,19789,4168,4806,15028
2005M06,18911,3731,4062,17832
2005M07,22708,4238,5146,19787
2005M08,20774,4510,7261,14933
2005M09,28294,3961,5662,11533
2005M10,24953,4184,5056,14923
2005M11,23416,4523,6412,22959
2005M12,41178,5168,6181,33580
2006M01,47382,5051,6180,39849
2006M02,32100,5498,8156,50406
2006M03,31889,4705,7975,37373
2006M04,32407,4897,4952,27351
2006M05,20856,4553,4439,16201
2006M06,18940,3812,3986,12761
2006M07,24574,4551,5209,13627
2006M08,22771,4586,7353,14271
2006M09,27567,3929,5317,11295
2006M10,28597,4086,4518,14573
2006M11,26032,4988,6076,23166
2006M12,43700,5320,5345,34409
2007M01,47711,4808,5139,41071
2007M02,33144,6366,6471,51655
2007M03,32240,4918,7128,38885
2007M04,31548,4983,4104,25505
2007M05,20797,4517,3571,14538
2007M06,19295,3917,3398,11332
2007M07,27078,4430,4358,12146
2007M08,24142,5173,6373,12849
2007M09,27985,4419,4691,10000
2007M10,27707,4530,3976,14020
2007M11,26069,5008,5514,21679
2007M12,45046,5676,4930,31752
2008M01,51000,5020,4659,39259
2008M02,34953,6563,6289,50961
2008M03,37767,5090,7200,41068
2008M04,31284,4873,4170,25387
2008M05,21852,4377,3636,15026
2008M06,20149,3710,3282,12273
2008M07,27052,4485,4121,12563
2008M08,25021,4747,5990,13101
2008M09,28455,3922,4258,9749
2008M10,27003,4319,3745,13222
2008M11,27016,4948,4251,20171
2008M12,47325,5741,4447,30395
2009M01,50701,6201,4121,36604
2009M02,34098,6433,5530,44999
2009M03,32725,5784,6138,32932
2009M04,32983,5407,3409,21933
2009M05,22484,4720,2565,12852
2009M06,20837,4101,2067,10372
2009M07,30154,4828,2635,10742
2009M08,26809,4676,3992,10658
2009M09,31161,4714,3664,8994
2009M10,29696,5509,3164,12544
2009M11,28914,6042,3674,19914
2009M12,51677,6865,4069,30752
2010M01,56626,6538,4210,36916
2010M02,36793,8916,5892,44126
2010M03,37293,6519,6119,31052
2010M04,34758,6171,3471,19735
2010M05,22548,5575,3185,10955
2010M06,21779,5045,2769,8519
2010M07,31846,5698,3475,9168
2010M08,27650,6078,4779,9574
2010M09,32489,5652,3694,7754
2010M10,30139,6366,3485,10433
2010M11,29460,7263,4069,17259
2010M12,52646,8167,3874,26844
2011M01,57865,7799,4057,33059
2011M02,37081,10005,5306,39129
2011M03,34237,6738,4888,26515
2011M04,34929,6331,2518,18149
2011M05,21344,5838,2410,9864
2011M06,19494,4940,2616,6749
2011M07,29388,6330,3013,7473
2011M08,27611,7012,4849,8567
2011M09,31632,5883,3633,13462
2011M10,30368,6494,2712,16085
2011M11,28707,7940,3329,16459
2011M12,53294,8873,3365,25851
2012M01,56917,11268,3368,30247
2012M02,35432,9458,4641,34750
2012M03,33189,8598,5221,24412
2012M04,33363,8571,2690,15446
