Year	Month	Arctic	Antarctica
2006	Oct	5.74	14.58
2006	Nov	8.07	11.5
2006	Dec	10.1	6.28
2007	Jan	11.79	2.87
2007	Feb	12.52	1.89
2007	Mar	12.49	2.48
2007	Apr	11.75	4.62
2007	May	10.71	7.44
2007	Jun	8.15	10.39
2007	Jul	5.03	12.52
2007	Aug	3.11	13.94
2007	Sep	2.78	15.29
2007	Oct	4.21	14.5
2007	Nov	8	12.03
2007	Dec	10.11	8.28
2008	Jan	11.89	3.91
2008	Feb	12.81	2.32
2008	Mar	13.17	3.62
2008	Apr	12.42	6.14
2008	May	10.83	8.51
2008	Jun	8.47	11.31
2008	Jul	5.7	12.8
2008	Aug	3.43	13.96
2008	Sep	2.93	14.27
2008	Oct	5.4	14
2008	Nov	8.7	11.81
2008	Dec	10.6	7.15
2009	Jan	11.91	3.33
2009	Feb	12.82	1.89
2009	Mar	13.04	2.94
2009	Apr	12.54	5.86
2009	May	11.08	8.32
2009	Jun	8.86	10.97
2009	Jul	5.71	12.95
2009	Aug	3.79	14.29
2009	Sep	3.42	14.92
2009	Oct	4.85	14.19
2009	Nov	7.98	11.64
2009	Dec	10.17	6.87
2010	Jan	11.59	3.16
2010	Feb	12.52	2.03
2010	Mar	13.11	2.58
2010	Apr	12.43	4.88
2010	May	10.48	8.19
2010	Jun	7.98	11.51
2010	Jul	5.21	13.6
2010	Aug	3.54	14.78
2010	Sep	3.02	14.24
2010	Oct	5.13	14.26
2010	Nov	8.06	11.75
2010	Dec	10.02	6.67
2011	Jan	11.38	2.87
2011	Feb	12.32	1.8
2011	Mar	12.4	2.18
