Country,Date,Time,Arrivals,Time2,Arrivals2
China..People.s.Republic.of,2003Q3,2003.625,6354,13.625,1006354
China..People.s.Republic.of,2003Q4,2003.875,5880,13.875,1005880
China..People.s.Republic.of,2004Q1,2004.125,5528,14.125,1005528
China..People.s.Republic.of,2004Q2,2004.375,4519,14.375,1004519
China..People.s.Republic.of,2004Q3,2004.625,4601,14.625,1004601
China..People.s.Republic.of,2004Q4,2004.875,4766,14.875,1004766
China..People.s.Republic.of,2005Q1,2005.125,4884,15.125,1004884
China..People.s.Republic.of,2005Q2,2005.375,4117,15.375,1004117
China..People.s.Republic.of,2005Q3,2005.625,4239,15.625,1004239
China..People.s.Republic.of,2005Q4,2005.875,4626,15.875,1004626
China..People.s.Republic.of,2006Q1,2006.125,5071,16.125,1005071
China..People.s.Republic.of,2006Q2,2006.375,4422,16.375,1004422
China..People.s.Republic.of,2006Q3,2006.625,4360,16.625,1004360
China..People.s.Republic.of,2006Q4,2006.875,4796,16.875,1004796
China..People.s.Republic.of,2007Q1,2007.125,5331,17.125,1005331
China..People.s.Republic.of,2007Q2,2007.375,4473,17.375,1004473
China..People.s.Republic.of,2007Q3,2007.625,4677,17.625,1004677
China..People.s.Republic.of,2007Q4,2007.875,5072,17.875,1005072
China..People.s.Republic.of,2008Q1,2008.125,5536,18.125,1005536
China..People.s.Republic.of,2008Q2,2008.375,4321,18.375,1004321
China..People.s.Republic.of,2008Q3,2008.625,4389,18.625,1004389
China..People.s.Republic.of,2008Q4,2008.875,5003,18.875,1005003
China..People.s.Republic.of,2009Q1,2009.125,6129,19.125,1006129
China..People.s.Republic.of,2009Q2,2009.375,4742,19.375,1004742
China..People.s.Republic.of,2009Q3,2009.625,4740,19.625,1004740
China..People.s.Republic.of,2009Q4,2009.875,6140,19.875,1006140
China..People.s.Republic.of,2010Q1,2010.125,7271,20.125,1007271
China..People.s.Republic.of,2010Q2,2010.375,5597,20.375,1005597
China..People.s.Republic.of,2010Q3,2010.625,5811,20.625,1005811
China..People.s.Republic.of,2010Q4,2010.875,7266,20.875,1007266
China..People.s.Republic.of,2011Q1,2011.125,8120,21.125,1008120
China..People.s.Republic.of,2011Q2,2011.375,5705,21.375,1005705
China..People.s.Republic.of,2011Q3,2011.625,6414,21.625,1006414
China..People.s.Republic.of,2011Q4,2011.875,7767,21.875,1007767
China..People.s.Republic.of,2012Q1,2012.125,9782,22.125,1009782
Japan,1998Q4,1998.875,5938,8.875,1005938
Japan,1999Q1,1999.125,6925,9.125,1006925
Japan,1999Q2,1999.375,4353,9.375,1004353
Japan,1999Q3,1999.625,6855,9.625,1006855
Japan,1999Q4,1999.875,6216,9.875,1006216
Japan,2000Q1,2000.125,7061,10.125,1007061
Japan,2000Q2,2000.375,4417,10.375,1004417
Japan,2000Q3,2000.625,7505,10.625,1007505
Japan,2000Q4,2000.875,6778,10.875,1006778
Japan,2001Q1,2001.125,8169,11.125,1008169
Japan,2001Q2,2001.375,5290,11.375,1005290
Japan,2001Q3,2001.625,7710,11.625,1007710
Japan,2001Q4,2001.875,6213,11.875,1006213
Japan,2002Q1,2002.125,7952,12.125,1007952
Japan,2002Q2,2002.375,5476,12.375,1005476
Japan,2002Q3,2002.625,7990,12.625,1007990
Japan,2002Q4,2002.875,7747,12.875,1007747
Japan,2003Q1,2003.125,8908,13.125,1008908
Japan,2003Q2,2003.375,5369,13.375,1005369
Japan,2003Q3,2003.625,7794,13.625,1007794
Japan,2003Q4,2003.875,7543,13.875,1007543
Japan,2004Q1,2004.125,8533,14.125,1008533
Japan,2004Q2,2004.375,5564,14.375,1005564
Japan,2004Q3,2004.625,6997,14.625,1006997
Japan,2004Q4,2004.875,6678,14.875,1006678
Japan,2005Q1,2005.125,7730,15.125,1007730
Japan,2005Q2,2005.375,4790,15.375,1004790
Japan,2005Q3,2005.625,6027,15.625,1006027
Japan,2005Q4,2005.875,5877,15.875,1005877
Japan,2006Q1,2006.125,7413,16.125,1007413
Japan,2006Q2,2006.375,4459,16.375,1004459
Japan,2006Q3,2006.625,5966,16.625,1005966
Japan,2006Q4,2006.875,5305,16.875,1005305
Japan,2007Q1,2007.125,6238,17.125,1006238
Japan,2007Q2,2007.375,3689,17.375,1003689
Japan,2007Q3,2007.625,5146,17.625,1005146
Japan,2007Q4,2007.875,4799,17.875,1004799
Japan,2008Q1,2008.125,6044,18.125,1006044
Japan,2008Q2,2008.375,3695,18.375,1003695
Japan,2008Q3,2008.625,4795,18.625,1004795
Japan,2008Q4,2008.875,4147,18.875,1004147
Japan,2009Q1,2009.125,5254,19.125,1005254
Japan,2009Q2,2009.375,2679,19.375,1002679
Japan,2009Q3,2009.625,3428,19.625,1003428
Japan,2009Q4,2009.875,3635,19.875,1003635
Japan,2010Q1,2010.125,5391,20.125,1005391
Japan,2010Q2,2010.375,3142,20.375,1003142
Japan,2010Q3,2010.625,3986,20.625,1003986
Japan,2010Q4,2010.875,3807,20.875,1003807
Japan,2011Q1,2011.125,4732,21.125,1004732
Japan,2011Q2,2011.375,2513,21.375,1002513
Japan,2011Q3,2011.625,3834,21.625,1003834
Japan,2011Q4,2011.875,3133,21.875,1003133
Japan,2012Q1,2012.125,4405,22.125,1004405
United.Kingdom,1998Q4,1998.875,13831,8.875,1013831
United.Kingdom,1999Q1,1999.125,23271,9.125,1023271
United.Kingdom,1999Q2,1999.375,9756,9.375,1009756
United.Kingdom,1999Q3,1999.625,7899,9.625,1007899
United.Kingdom,1999Q4,1999.875,15778,9.875,1015778
United.Kingdom,2000Q1,2000.125,25362,10.125,1025362
United.Kingdom,2000Q2,2000.375,11618,10.375,1011618
United.Kingdom,2000Q3,2000.625,8553,10.625,1008553
United.Kingdom,2000Q4,2000.875,17512,10.875,1017512
United.Kingdom,2001Q1,2001.125,29409,11.125,1029409
United.Kingdom,2001Q2,2001.375,12008,11.375,1012008
United.Kingdom,2001Q3,2001.625,9611,11.625,1009611
United.Kingdom,2001Q4,2001.875,18316,11.875,1018316
United.Kingdom,2002Q1,2002.125,34025,12.125,1034025
United.Kingdom,2002Q2,2002.375,14763,12.375,1014763
United.Kingdom,2002Q3,2002.625,11494,12.625,1011494
United.Kingdom,2002Q4,2002.875,21094,12.875,1021094
United.Kingdom,2003Q1,2003.125,36605,13.125,1036605
United.Kingdom,2003Q2,2003.375,17073,13.375,1017073
United.Kingdom,2003Q3,2003.625,13392,13.625,1013392
United.Kingdom,2003Q4,2003.875,23566,13.875,1023566
United.Kingdom,2004Q1,2004.125,40104,14.125,1040104
United.Kingdom,2004Q2,2004.375,18008,14.375,1018008
United.Kingdom,2004Q3,2004.625,13533,14.625,1013533
United.Kingdom,2004Q4,2004.875,23879,14.875,1023879
United.Kingdom,2005Q1,2005.125,41352,15.125,1041352
United.Kingdom,2005Q2,2005.375,18906,15.375,1018906
United.Kingdom,2005Q3,2005.625,15460,15.625,1015460
United.Kingdom,2005Q4,2005.875,23830,15.875,1023830
United.Kingdom,2006Q1,2006.125,42281,16.125,1042281
United.Kingdom,2006Q2,2006.375,18743,16.375,1018743
United.Kingdom,2006Q3,2006.625,13084,16.625,1013084
United.Kingdom,2006Q4,2006.875,24059,16.875,1024059
United.Kingdom,2007Q1,2007.125,43611,17.125,1043611
United.Kingdom,2007Q2,2007.375,17097,17.375,1017097
United.Kingdom,2007Q3,2007.625,11683,17.625,1011683
United.Kingdom,2007Q4,2007.875,22492,17.875,1022492
United.Kingdom,2008Q1,2008.125,43604,18.125,1043604
United.Kingdom,2008Q2,2008.375,17534,18.375,1017534
United.Kingdom,2008Q3,2008.625,11827,18.625,1011827
United.Kingdom,2008Q4,2008.875,21274,18.875,1021274
United.Kingdom,2009Q1,2009.125,37951,19.125,1037951
United.Kingdom,2009Q2,2009.375,15028,19.375,1015028
United.Kingdom,2009Q3,2009.625,10144,19.625,1010144
United.Kingdom,2009Q4,2009.875,21083,19.875,1021083
United.Kingdom,2010Q1,2010.125,37139,20.125,1037139
United.Kingdom,2010Q2,2010.375,13047,20.375,1013047
United.Kingdom,2010Q3,2010.625,8844,20.625,1008844
United.Kingdom,2010Q4,2010.875,18189,20.875,1018189
United.Kingdom,2011Q1,2011.125,32693,21.125,1032693
United.Kingdom,2011Q2,2011.375,11568,21.375,1011568
United.Kingdom,2011Q3,2011.625,9795,21.625,1009795
United.Kingdom,2011Q4,2011.875,19498,21.875,1019498
United.Kingdom,2012Q1,2012.125,29694,22.125,1029694
