Vehicle Name,Car Type,Drive Train Type,Retail Price ($US),Cost Price ($US),Engine Size (litres),Number cylinders,Horsepower (hp),City  (km/100L),Open Road (km/100L),Weight (kg),Wheel base (cm),Length (cm),Width (cm)
Mini Cooper S,1,1,"19,999.00","18,137.00",1.6,4,163,9.4,6.9,1205,246,366,170
Mitsubishi Galant ES 2.4L 4dr,1,1,"19,312.00","17,957.00",2.4,4,160,*,*,1508,274,485,183
Mitsubishi Lancer OZ Rally 4dr auto,1,1,"17,232.00","16,196.00",2,4,120,*,*,1235,259,460,170
Nissan Altima S 4dr,1,1,"19,240.00","18,030.00",2.5,4,175,11.2,9.0,1368,279,488,178
Nissan Sentra SE-R 4dr,1,1,"17,640.00","16,444.00",2.5,4,165,10.2,8.4,1242,254,452,170
Oldsmobile Alero GX 2dr,1,1,"18,825.00","17,642.00",2.2,4,140,9.8,7.4,1326,272,475,178
Pontiac Grand Am GT 2dr,1,1,"22,450.00","20,595.00",3.4,6,175,11.8,8.1,1403,272,472,178
Pontiac Grand Prix GT1 4dr,1,1,"22,395.00","20,545.00",3.8,6,200,11.8,7.8,1565,282,503,188
Pontiac Sunfire 1SC 2dr,1,1,"17,735.00","16,369.00",2.2,4,140,9.8,7.1,1247,264,462,173
Saturn L300-2 4dr,1,1,"21,410.00","19,801.00",3,6,182,11.8,8.4,1439,272,483,175
Subaru Impreza 2.5 RS 4dr,1,3,"19,945.00","18,399.00",2.5,4,165,10.7,8.4,1334,251,442,175
Subaru Legacy L 4dr,1,3,"20,445.00","18,713.00",2.5,4,165,11.2,8.4,1478,264,467,175
Suzuki Verona LX 4dr,1,1,"17,262.00","17,053.00",2.5,6,155,11.8,8.7,1521,269,478,183
Toyota Camry LE 4dr,1,1,"19,560.00","17,558.00",2.4,4,157,9.8,7.1,1389,272,480,180
Toyota Camry LE V6 4dr,1,1,"22,775.00","20,325.00",3,6,210,11.2,8.1,1483,272,480,180
Toyota Camry Solara SE 2dr,1,1,"19,635.00","17,722.00",2.4,4,157,9.8,7.1,1429,272,490,183
Toyota Camry Solara SE V6 2dr,1,1,"21,965.00","19,819.00",3.3,6,225,11.8,8.1,1538,272,490,183
Toyota Prius 4dr (gas/electric),1,1,"20,510.00","18,926.00",1.5,4,110,4.0,4.6,1301,269,445,173
Volkswagen Golf GLS 4dr,1,1,"18,715.00","17,478.00",2,4,115,9.8,7.6,1304,251,419,173
Volkswagen GTI 1.8T 2dr hatch,1,1,"19,825.00","18,109.00",1.8,4,180,9.8,7.6,1320,251,427,173
Volkswagen Jetta GLS TDI 4dr,1,1,"21,055.00","19,638.00",1.9,4,100,6.2,5.1,1351,251,437,173
Volkswagen New Beetle GLS 1.8T 2dr,1,1,"21,055.00","19,638.00",1.8,4,150,9.8,7.6,1269,251,409,173
Acura RSX Type S 2dr,1,1,"23,820.00","21,761.00",2,4,200,9.8,7.6,1250,257,437,173
Acura TSX 4dr,1,1,"26,990.00","24,647.00",2.4,4,200,10.7,8.1,1454,267,465,175
Audi A4 1.8T 4dr,1,1,"25,940.00","23,508.00",1.8,4,170,10.7,7.6,1463,264,455,178
BMW 325i 4dr,1,2,"28,495.00","26,155.00",2.5,6,184,11.8,8.1,1449,272,447,175
Buick LeSabre Custom 4dr,1,1,"26,470.00","24,282.00",3.8,6,205,11.8,8.1,1605,284,508,188
Buick Regal LS 4dr,1,1,"24,895.00","22,835.00",3.8,6,200,11.8,7.8,1557,277,498,185
Buick Regal GS 4dr,1,1,"28,345.00","26,047.00",3.8,6,240,13.1,8.4,1591,277,498,185
Chevrolet Impala LS 4dr,1,1,"25,000.00","22,931.00",3.8,6,200,11.8,7.8,1564,282,508,185
Chevrolet Impala SS 4dr,1,1,"27,995.00","25,672.00",3.8,6,240,13.1,8.4,1623,282,508,185
Chevrolet Malibu LT 4dr,1,1,"23,495.00","21,551.00",3.5,6,200,10.2,7.4,1492,269,478,178
Chevrolet Monte Carlo SS 2dr,1,1,"24,225.00","22,222.00",3.8,6,200,13.1,8.4,1545,282,503,185
Chrysler 300M 4dr,1,1,"29,865.00","27,797.00",3.5,6,250,13.1,8.7,1611,287,503,188
Chrysler Concorde LX 4dr,1,1,"24,130.00","22,452.00",2.7,6,200,11.2,8.1,1566,287,528,188
Chrysler Concorde LXi 4dr,1,1,"26,860.00","24,909.00",3.5,6,232,12.4,8.7,1597,287,528,188
Chrvsler PT Cruiser GT 4dr,1,1,"25,955.00","24,172.00",2.4,4,220,11.2,8.7,1448,262,429,170
Chrysler Sebring convertible 2dr,1,1,"25,215.00","23,451.00",2.4,4,150,10.7,7.8,1511,269,493,163
Dodge Intrepid ES 4dr,1,1,"24,885.00","23,058.00",3.5,6,232,13.1,8.7,1569,287,518,191
Ford Crown Victoria 4dr,1,2,"24,345.00","22,856.00",4.6,8,224,13.8,9.4,1826,292,538,198
Ford Crown Victoria LX 4dr,1,2,"27,370.00","25,105.00",4.6,8,224,13.8,9.4,1826,292,538,198
Honda Accord LX V6 4dr,1,1,"23,760.00","21,428.00",3,6,240,11.2,7.8,1507,274,483,183
Honda Accord EX V6 2dr,1,1,"26,960.00","24,304.00",3,6,240,11.2,7.8,1482,267,478,180
Hyundai XG350 4dr,1,1,"24,589.00","22,055.00",3.5,6,194,13.8,9.0,1643,274,488,183
Hyundai XG350 L 4dr,1,1,"26,189.00","23,486.00",3.5,6,194,13.8,9.0,1643,274,488,183
Infiniti G35 4dr,1,2,"28,495.00","26,157.00",3.5,6,260,13.1,9.0,1501,284,475,175
Infiniti G35 Sport Coupe 2dr,1,2,"29,795.00","27,536.00",3.5,6,280,13.1,9.0,1537,284,462,183
Jaguar X-Type 2.5 4dr,1,3,"29,995.00","27,355.00",2.5,6,192,13.1,9.0,1543,272,467,178
Kia Amanti 4dr,1,1,"26,000.00","23,764.00",3.5,6,195,13.8,9.4,0,279,498,185
Mercedes-Benz C230 Sport 2dr,1,2,"26,060.00","24,249.00",1.8,4,189,10.7,7.8,1463,272,452,173
Mercedes-Benz C320 Sport 2dr,1,2,"28,370.00","26,435.00",3.2,6,215,12.4,9.0,1544,272,452,173
Mercury Grand Marquis GS 4dr,1,2,"24,695.00","23,217.00",4.6,8,224,13.8,9.4,1823,292,538,198
Mercury Grand Marquis LS Premium 4dr,1,2,"29,595.00","27,148.00",4.6,8,224,13.8,9.4,1823,292,538,198
Mercury Sable LS Premium 4dr,1,1,"23,895.00","21,918.00",3,6,201,12.4,9.0,1492,277,508,185
Mitsubishi Diamante LS 4dr,1,1,"29,282.00","27,250.00",3.5,6,205,13.1,9.4,1597,272,493,178
Mitsubishi Galant GTS 4dr,1,1,"25,700.00","23,883.00",3.8,6,230,13.1,9.0,1642,274,485,183
Nissan Altima SE 4dr,1,1,"23,290.00","21,580.00",3.5,6,245,11.2,9.0,1439,279,488,178
Nissan Maxima SE 4dr,1,1,"27,490.00","25,182.00",3.5,6,265,11.8,8.4,1563,282,493,183
Nissan Maxima SL 4dr,1,1,"29,440.00","26,966.00",3.5,6,265,11.8,8.4,1564,282,493,183
Oldsmobile Alero GLS 2dr,1,1,"23,675.00","21,485.00",3.4,6,170,11.8,8.1,1388,272,475,178
Pontiac Grand Prix GT2 4dr,1,1,"24,295.00","22,284.00",3.8,6,200,11.8,7.8,1568,282,503,188
Subaru Legacy GT 4dr,1,3,"25,645.00","23,336.00",2.5,4,165,11.2,8.4,1528,264,467,175
Subaru Outback Limited Sedan 4dr,1,3,"27,145.00","24,687.00",2.5,4,165,11.8,8.7,1573,264,467,175
Subaru Outback H6 4dr,1,3,"29,345.00","26,660.00",3,6,212,12.4,9.0,1625,264,467,175
Toyota Avalon XL 4dr,1,1,"26,560.00","23,693.00",3,6,210,11.2,8.1,1538,272,488,183
Toyota Camry XLE V6 4dr,1,1,"25,920.00","23,125.00",3,6,210,11.2,8.1,1513,272,480,180
Toyota Camry Solara SLE V6 2dr,1,1,"26,510.00","23,908.00",3.3,6,225,11.8,8.1,1548,272,490,183
Volkswagen Jetta GLI VR6 4dr,1,1,"23,785.00","21,686.00",2.8,6,200,11.2,7.8,1431,251,437,173
Volkswagen New Beetle GLS convertible 2dr,1,1,"23,215.00","21,689.00",2,4,115,9.8,7.8,1387,251,409,173
Volkswagen Passat GLS 4dr,1,1,"23,955.00","21,898.00",1.8,4,170,10.7,7.6,1458,269,470,175
Volvo S40 4dr,1,1,"25,135.00","23,701.00",1.9,4,170,10.7,8.1,1245,257,452,173
Acura TL 4dr,1,1,"33,195.00","30,299.00",3.2,6,270,11.8,8.4,1609,274,472,183
Audi A41.8T convertible 2dr,1,1,"35,940.00","32,506.00",1.8,4,170,10.2,7.8,1637,267,457,178
Audi A4 3.0 4dr,1,1,"31,840.00","28,846.00",3,6,220,11.8,8.4,1558,264,455,178
Audi A4 3.0 Quattro 4dr manual,1,3,"33,430.00","30,366.00",3,6,220,13.8,9.0,1612,264,455,178
Audi A4 3.0 Quattro 4dr auto,1,3,"34,480.00","31,388.00",3,6,220,13.1,9.4,1632,264,455,178
Audi A6 3.0 4dr,1,1,"36,640.00","33,129.00",3,6,220,11.8,8.7,1602,277,488,180
Audi A6 3.0 Quattro 4dr,1,3,"39,640.00","35,992.00",3,6,220,13.1,9.4,1746,277,488,180
BMW 325Ci 2dr,1,2,"30,795.00","28,245.00",2.5,6,184,11.8,8.1,1439,272,450,175
BMW 325Ci convertible 2dr,1,2,"37,995.00","34,800.00",2.5,6,184,12.4,8.7,1602,272,450,175
BMW 325xi 4dr,1,3,"30,245.00","27,745.00",2.5,6,184,12.4,8.7,1557,272,447,175
BMW 330i 4dr,1,2,"35,495.00","32,525.00",3,6,225,11.8,7.8,1478,272,447,175
BMW 330Ci 2dr,1,2,"36,995.00","33,890.00",3,6,225,11.8,7.8,1478,272,447,175
BMW 330xi 4dr,1,3,"37,245.00","34,115.00",3,6,225,11.8,8.1,1567,272,447,175
BMW 525i 4dr,1,2,"39,995.00","36,620.00",2.5,6,184,12.4,8.4,1543,290,485,185
Buick LeSabre Limited 4dr,1,1,"32,245.00","29,566.00",3.8,6,205,11.8,8.1,1616,284,508,188
Buick Park Avenue 4dr,1,1,"35,545.00","32,244.00",3.8,6,205,11.8,8.1,1700,290,526,191
Cadillac CTS VVT 4dr,1,2,"30,835.00","28,575.00",3.6,6,255,13.1,9.4,1662,287,483,180
Chrysler 300M Special Edition 4dr,1,1,"33,295.00","30,884.00",3.5,6,255,13.1,8.7,1643,287,503,188
Chrysler Sebring Limited convertible 2dr,1,1,"30,950.00","28,613.00",2.7,6,200,11.2,8.4,1552,269,493,175
Ford Crown Victoria LX Sport 4dr,1,2,"30,315.00","27,756.00",4.6,8,239,13.8,9.4,1826,292,538,198
Infiniti G35 4dr,1,3,"32,445.00","29,783.00",3.5,6,260,13.1,9.0,1655,284,475,175
Infiniti I35 4dr,1,1,"31,145.00","28,320.00",3.5,6,255,12.4,9.0,1488,274,493,178
Jaguar X-Type 3.0 4dr,1,3,"33,995.00","30,995.00",3,6,227,13.1,9.4,1582,272,467,178
Lexus ES 330 4dr,1,1,"32,350.00","28,755.00",3.3,6,225,11.8,8.1,1557,272,485,180
Lexus IS 300 4dr manual,1,2,"31,045.00","27,404.00",3,6,215,13.1,9.4,1465,267,450,173
Lexus IS 300 4dr auto,1,2,"32,415.00","28,611.00",3,6,215,13.1,9.8,1478,267,450,173
Lincoln LS V6 Luxury 4dr,1,2,"32,495.00","29,969.00",3,6,232,11.8,9.0,1656,292,493,185
Lincoln LS V6 Premium 4dr,1,2,"36,895.00","33,929.00",3,6,232,11.8,9.0,1656,292,493,185
Mercedes-Benz C240 4dr,1,2,"32,280.00","30,071.00",2.6,6,168,11.8,9.4,1512,272,452,173
Mercedes-Benz C240 4dr,1,3,"33,480.00","31,187.00",2.6,6,168,12.4,9.4,1512,272,452,173
Mercedes-Benz C320 Sport 4dr,1,2,"35,920.00","33,456.00",3.2,6,215,12.4,9.0,1544,272,452,173
Mercedes-Benz C320 4dr,1,2,"37,630.00","35,046.00",3.2,6,215,11.8,9.0,1553,272,452,173
Mercedes-Benz C320 4dr,1,3,"38,830.00","36,162.00",3.2,6,215,12.4,8.7,0,272,452,173
Mercury Grand Marquis LS Ultimate 4dr,1,2,"30,895.00","28,318.00",4.6,8,224,13.8,9.4,1823,292,538,198
Mercury Marauder 4dr,1,2,"34,495.00","31,558.00",4.6,8,302,13.8,10.2,1888,292,538,198
Pontiac Bonneville GXP 4dr,1,1,"35,995.00","32,997.00",4.6,8,275,*,*,1706,284,516,188
Saab 9-3 Arc Sport 4dr,1,1,"30,860.00","29,269.00",2,4,210,11.8,8.4,1429,267,465,175
Saab 9-3 Aero 4dr,1,1,"33,360.00","31,562.00",2,4,210,11.8,8.4,1429,267,465,175
Saab 9-5 Arc 4dr,1,1,"35,105.00","33,011.00",2.3,4,220,11.2,8.1,1562,269,483,180
Saab 9-5 Aero 4dr,1,1,"39,465.00","37,721.00",2.3,4,250,11.2,8.1,1562,269,483,180
Subaru Outback H-6 VDC 4dr,1,3,"31,545.00","28,603.00",3,6,212,12.4,9.0,1634,264,467,175
Toyota Avalon XLS 4dr,1,1,"30,920.00","27,271.00",3,6,210,11.2,8.1,1548,272,488,183
Volkswagen Passat GLX V6 4MOTION 4dr,1,1,"33,180.00","30,583.00",2.8,6,190,12.4,9.0,1674,269,470,175
Volkswagen Passat W8 4MOTION 4dr,1,1,"39,235.00","36,052.00",4,8,270,13.1,9.4,1779,269,470,175
Volvo S60 2.5 4dr,1,3,"31,745.00","29,916.00",2.5,5,208,11.8,8.7,1756,272,457,180
Volvo S60 T5 4dr,1,1,"34,845.00","32,902.00",2.3,5,247,11.8,8.4,1695,272,457,180
Volvo S60 R 4dr,1,3,"37,560.00","35,382.00",2.5,5,300,13.1,9.4,1607,272,460,180
Volvo S80 2.9 4dr,1,1,"37,730.00","35,542.00",2.9,6,208,11.8,8.4,1609,279,483,183
Volvo S80 2.5T 4dr,1,3,"37,885.00","35,688.00",2.5,5,194,11.8,8.7,1661,279,483,183
Acura 3.5 RL 4dr,1,1,"43,755.00","39,014.00",3.5,6,225,13.1,9.8,1746,292,500,183
Acura 3.5 RL w/Navigation 4dr,1,1,"46,100.00","41,100.00",3.5,6,225,13.1,9.8,1752,292,500,183
Audi A4 3.0 convertible 2dr,1,1,"42,490.00","38,325.00",3,6,220,11.8,8.7,1716,267,457,178
Audi A4 3.0 Quattro convertible 2dr,1,3,"44,240.00","40,075.00",3,6,220,13.1,9.4,1806,267,457,178
Audi A6 2.7 Turbo Quattro 4dr,1,3,"42,840.00","38,840.00",2.7,6,250,13.1,9.4,1726,277,488,180
Audi A6 4.2 Quattro 4dr,1,3,"49,690.00","44,936.00",4.2,8,300,13.8,9.8,1811,277,490,180
Audi A8 L Quattro 4dr,1,3,"69,190.00","64,740.00",4.2,8,330,13.8,9.8,1980,307,518,191
Audi S4 Quattro 4dr,1,3,"48,040.00","43,556.00",4.2,8,340,16.8,11.8,1721,264,455,178
BMW 330Ci convertible 2dr,1,2,"44,295.00","40,530.00",3,6,225,12.4,8.4,1627,272,450,175
BMW 530i 4dr,1,2,"44,995.00","41,170.00",3,6,225,11.8,7.8,1562,290,485,185
BMW 545iA 4dr,1,2,"54,995.00","50,270.00",4.4,8,325,13.1,9.0,1716,290,485,185
BMW 745i 4dr,1,2,"69,195.00","63,190.00",4.4,8,325,13.1,9.0,1969,300,503,191
BMW 745Li 4dr,1,2,"73,195.00","66,830.00",4.4,8,325,13.1,9.0,2009,312,518,191
Buick Park Avenue Ultra 4dr,1,1,"40,720.00","36,927.00",3.8,6,240,13.1,8.4,1759,290,526,191
Cadillac Deville 4dr,1,1,"45,445.00","41,650.00",4.6,8,275,13.1,9.0,1793,292,526,188
Cadillac Deville DTS 4dr,1,1,"50,595.00","46,362.00",4.6,8,300,13.1,9.0,1820,292,526,188
Cadillac Seville SLS 4dr,1,1,"47,955.00","43,841.00",4.6,8,275,13.1,9.0,1796,284,511,191
Infiniti M45 4dr,1,2,"42,845.00","38,792.00",4.5,8,340,13.8,10.2,1733,279,500,178
Infiniti Q45 Luxury 4dr,1,2,"52,545.00","47,575.00",4.5,8,340,13.8,10.2,1790,287,508,185
Jaguar S-Type 3.0 4dr,1,2,"43,895.00","40,004.00",3,6,235,13.1,9.0,1700,292,488,183
Jaguar S-Type 4.2 4dr,1,2,"49,995.00","45,556.00",4.2,8,294,13.1,8.4,1743,292,488,183
Jaguar S-Type R 4dr,1,2,"63,120.00","57,499.00",4.2,8,390,13.8,9.8,1821,292,488,183
Jaguar Vanden Plas 4dr,1,2,"68,995.00","62,846.00",4.2,8,294,13.1,8.4,1711,302,508,185
Jaguar XJ8 4dr,1,2,"59,995.00","54,656.00",4.2,8,294,13.1,8.4,1711,302,508,185
Jaguar XJR 4dr,1,2,"74,995.00","68,306.00",4.2,8,390,13.8,9.8,1777,302,508,185
Lexus GS 300 4dr,1,2,"41,010.00","36,196.00",3,6,220,13.1,9.4,1642,279,480,180
Lexus GS 430 4dr,1,2,"48,450.00","42,232.00",4.3,8,300,13.1,10.2,1672,279,480,180
Lexus LS 430 4dr,1,2,"55,750.00","48,583.00",4.3,8,290,13.1,9.4,1796,292,500,183
Lincoln LS V8 Sport 4dr,1,2,"40,095.00","36,809.00",3.9,8,280,13.8,9.8,1696,292,493,185
Lincoln LS V8 Ultimate 4dr,1,2,"43,495.00","39,869.00",3.9,8,280,13.8,9.8,1696,292,493,185
Lincoln Town Car Signature 4dr,1,2,"41,815.00","38,418.00",4.6,8,239,13.8,9.4,1966,300,546,198
Lincoln Town Car Ultimate 4dr,1,2,"44,925.00","41,217.00",4.6,8,239,13.8,9.4,1966,300,546,198
Lincoln Town Car Ultimate L 4dr,1,2,"50,470.00","46,208.00",4.6,8,239,13.8,9.4,2013,315,561,198
Mercedes-Benz C32 AMG 4dr,1,2,"52,120.00","48,522.00",3.2,6,349,14.7,11.2,1593,272,452,173
Mercedes-Benz CL500 2dr,1,2,"94,820.00","88,324.00",5,8,302,14.7,9.8,1838,290,498,185
Mercedes-Benz CL600 2dr,1,2,"128,420.00","119,600.00",5.5,12,493,18.1,12.4,2013,290,498,185
Mercedes-Benz CLK320 coupe 2dr (convertible),1,2,"45,707.00","41,966.00",3.2,6,215,11.8,9.0,1697,272,465,175
Mercedes-Benz CLK500 coupe 2dr (convertible),1,2,"52,800.00","49,104.00",5,8,302,13.8,10.7,1613,272,465,175
Mercedes-Benz E320 4dr,1,2,"48,170.00","44,849.00",3.2,6,221,12.4,8.7,1636,284,483,180
Mercedes-Benz E500 4dr,1,2,"57,270.00","53,382.00",5,8,302,14.7,11.8,1717,284,483,180
Mercedes-Benz S430 4dr,1,2,"74,320.00","69,168.00",4.3,8,275,13.1,9.0,1872,310,516,185
Mercedes-Benz S500 4dr,1,3,"86,970.00","80,939.00",5,8,302,14.7,9.8,1976,310,516,185
Saab 9-3 Arc convertible 2dr,1,1,"40,670.00","38,520.00",2,4,210,11.2,8.1,1566,267,462,175
