Carat,Colour,Clarity,Lab,Price ($US)
0.3,6,1,2,909.30
0.31,2,3,2,"1,139.60"
0.31,3,2,2,"1,139.60"
0.31,6,1,2,935.90
0.32,5,1,2,"1,023.40"
0.33,5,1,2,"1,052.10"
0.34,3,2,2,"1,241.10"
0.34,3,3,2,"1,145.20"
0.35,3,2,2,"1,274.70"
0.35,4,3,2,"1,078.00"
0.4,4,1,2,"1,593.20"
0.41,6,2,2,"1,131.20"
0.41,6,3,2,"1,054.20"
0.47,3,3,2,"1,855.70"
0.48,3,4,2,"1,668.10"
0.5,4,1,2,"2,556.40"
0.51,2,3,2,"2,605.40"
0.51,3,2,2,"2,605.40"
0.52,6,1,2,"2,166.50"
0.55,3,3,2,"2,594.20"
0.56,2,3,2,"2,849.00"
0.56,4,3,2,"2,429.00"
0.58,2,2,2,"3,381.70"
0.58,3,2,2,"2,946.30"
0.58,4,2,2,"2,674.70"
0.7,4,2,2,"3,924.90"
0.7,4,3,2,"3,728.20"
0.71,1,4,2,"4,312.00"
0.76,3,3,2,"4,266.50"
0.78,4,3,2,"4,155.90"
1,5,3,2,"6,539.40"
1.01,4,4,2,"6,799.10"
1.01,5,5,2,"6,211.10"
1.01,6,4,2,"5,722.50"
0.5,3,2,3,"2,644.60"
0.5,4,2,3,"2,402.40"
0.51,3,2,3,"2,695.70"
0.52,2,5,3,"2,342.20"
0.52,5,2,3,"2,191.00"
0.53,3,2,3,"2,796.50"
0.53,3,3,3,"2,590.70"
0.55,4,3,3,"2,470.30"
0.56,3,4,3,"2,566.90"
0.56,3,5,3,"2,241.40"
0.57,3,5,3,"2,279.20"
0.57,5,2,3,"2,390.50"
0.58,5,1,3,"2,654.40"
0.6,4,4,3,"2,747.50"
0.6,4,5,3,"2,394.70"
0.6,5,2,3,"2,747.50"
0.61,5,3,3,"2,531.20"
0.62,6,3,3,"2,530.50"
0.64,5,3,3,"2,649.50"
0.65,6,3,3,"2,550.10"
0.66,5,2,3,"3,010.00"
0.7,2,2,3,"4,806.90"
0.7,2,3,3,"4,399.50"
0.7,4,2,3,"4,060.00"
0.7,4,3,3,"3,857.00"
0.7,5,5,3,"3,042.20"
0.71,4,1,3,"4,460.40"
0.71,5,3,3,"3,635.10"
0.72,5,2,3,"3,963.40"
0.73,3,5,3,"3,733.10"
0.73,4,2,3,"4,228.70"
0.74,5,2,3,"4,070.50"
0.8,3,1,3,"6,027.70"
0.8,3,4,3,"4,833.50"
0.8,4,3,3,"4,833.50"
0.8,5,3,3,"4,491.20"
0.8,5,4,3,"4,235.70"
0.81,2,2,3,"6,100.50"
0.81,2,5,3,"4,891.60"
0.81,3,4,3,"4,891.60"
0.81,4,4,3,"4,546.50"
0.81,5,1,3,"5,150.60"
0.82,3,5,3,"4,600.40"
0.82,4,3,3,"4,950.40"
0.85,3,2,3,"5,851.30"
0.85,3,5,3,"4,763.50"
0.85,4,2,3,"5,397.70"
0.86,5,5,3,"4,084.50"
1,1,3,3,"9,642.50"
1,2,2,3,"9,835.70"
1,2,3,3,"7,993.30"
1,2,4,3,"7,411.60"
1,3,2,3,"8,187.20"
1,3,3,3,"7,411.60"
1,4,2,3,"7,315.00"
1,4,3,3,"6,927.20"
1,4,5,3,"6,442.10"
1,5,2,3,"6,636.00"
1,5,4,3,"6,345.50"
1,5,5,3,"6,151.60"
1,6,2,3,"6,151.60"
1,6,3,3,"5,860.40"
1,6,4,3,"5,666.50"
1,6,5,3,"5,472.60"
1.01,1,3,3,"9,736.30"
1.01,2,3,3,"8,071.70"
1.01,2,4,3,"7,484.40"
1.01,3,2,3,"8,267.70"
1.01,3,4,3,"7,190.40"
1.01,4,3,3,"6,995.10"
1.01,4,5,3,"6,505.10"
1.01,5,3,3,"6,603.10"
1.01,5,4,3,"6,407.10"
1.01,6,2,3,"6,211.10"
1.01,6,4,3,"5,722.50"
1.02,3,3,3,"7,557.20"
1.06,5,3,3,"6,923.00"
1.02,5,5,3,"6,271.30"
1.09,6,3,3,"6,374.90"
